cor	gene	rank
0.06	perm	255
0.06	perm	256
0.06	perm	257
0.06	perm	258
0.06	perm	259
0.06	perm	260
0.06	perm	261
0.06	perm	262
0.059	perm	263
0.059	perm	264
0.059	perm	265
0.059	perm	266
0.059	perm	267
0.059	perm	268
0.059	perm	269
0.059	perm	270
0.059	perm	271
0.059	perm	272
0.059	perm	273
0.059	perm	274
0.059	perm	275
0.059	perm	276
0.059	perm	277
0.058	perm	278
0.058	perm	279
0.058	perm	280
0.058	perm	281
0.058	perm	282
0.058	perm	283
0.058	perm	284
0.058	perm	285
0.058	perm	286
0.058	perm	287
0.058	perm	288
0.058	perm	289
0.058	perm	290
0.058	perm	291
0.057	perm	292
0.057	perm	293
0.057	perm	294
0.057	perm	295
0.057	perm	296
0.057	perm	297
0.057	perm	298
0.057	perm	299
0.057	perm	300
0.057	perm	301
0.057	perm	302
0.057	perm	303
0.056	perm	304
0.056	perm	305
0.056	perm	306
0.056	perm	307
0.056	perm	308
0.056	perm	309
0.056	perm	310
0.056	perm	311
0.056	perm	312
0.056	perm	313
0.056	perm	314
0.056	perm	315
0.056	perm	316
0.056	perm	317
0.056	perm	318
0.056	perm	319
0.055	perm	320
0.055	perm	321
0.055	perm	322
0.055	perm	323
0.055	perm	324
0.055	perm	325
0.055	perm	326
0.055	perm	327
0.055	perm	328
0.055	perm	329
0.055	perm	330
0.055	perm	331
0.055	perm	332
0.055	perm	333
0.055	perm	334
0.055	perm	335
0.055	perm	336
0.055	perm	337
0.055	perm	338
0.055	perm	339
0.055	perm	340
0.055	perm	341
0.055	perm	342
0.055	perm	343
0.055	perm	344
0.055	perm	345
0.054	perm	346
0.054	perm	347
0.054	perm	348
0.054	perm	349
0.054	perm	350
0.054	perm	351
0.054	perm	352
0.054	perm	353
0.054	perm	354
0.054	perm	355
0.054	perm	356
0.054	perm	357
0.054	perm	358
0.054	perm	359
0.054	perm	360
0.054	perm	361
0.054	perm	362
0.054	perm	363
0.054	perm	364
0.054	perm	365
0.054	perm	366
0.054	perm	367
0.054	perm	368
0.054	perm	369
0.053	perm	370
0.053	perm	371
0.053	perm	372
0.053	perm	373
0.053	perm	374
0.053	perm	375
0.053	perm	376
0.053	perm	377
0.053	perm	378
0.053	perm	379
0.053	perm	380
0.053	perm	381
0.053	perm	382
0.053	perm	383
0.053	perm	384
0.053	perm	385
0.052	perm	386
0.052	perm	387
0.052	perm	388
0.052	perm	389
0.052	perm	390
0.052	perm	391
0.052	perm	392
0.052	perm	393
0.052	perm	394
0.052	perm	395
0.052	perm	396
0.052	perm	397
0.052	perm	398
0.052	perm	399
0.052	perm	400
0.052	perm	401
0.052	perm	402
0.052	perm	403
0.051	perm	404
0.051	perm	405
0.051	perm	406
0.051	perm	407
0.051	perm	408
0.051	perm	409
0.051	perm	410
0.051	perm	411
0.051	perm	412
0.051	perm	413
0.051	perm	414
0.051	perm	415
0.051	perm	416
0.051	perm	417
0.051	perm	418
0.051	perm	419
0.051	perm	420
0.051	perm	421
0.051	perm	422
0.051	perm	423
0.051	perm	424
0.051	perm	425
0.051	perm	426
0.051	perm	427
0.051	perm	428
0.051	perm	429
0.051	perm	430
0.051	perm	431
0.05	perm	432
0.05	perm	433
0.05	perm	434
0.05	perm	435
0.05	perm	436
0.05	perm	437
0.05	perm	438
0.05	perm	439
0.05	perm	440
0.05	perm	441
0.05	perm	442
0.05	perm	443
0.05	perm	444
0.05	perm	445
0.05	perm	446
0.05	perm	447
0.05	perm	448
0.05	perm	449
0.05	perm	450
0.05	perm	451
0.05	perm	452
0.05	perm	453
0.05	perm	454
0.05	perm	455
0.05	perm	456
0.05	perm	457
0.05	perm	458
0.05	perm	459
0.05	perm	460
0.05	perm	461
0.05	perm	462
0.05	perm	463
0.049	perm	464
0.049	perm	465
0.049	perm	466
0.049	perm	467
0.049	perm	468
0.049	perm	469
0.049	perm	470
0.049	perm	471
0.049	perm	472
0.049	perm	473
0.049	perm	474
0.049	perm	475
0.049	perm	476
0.049	perm	477
0.049	perm	478
0.049	perm	479
0.049	perm	480
0.049	perm	481
0.049	perm	482
0.049	perm	483
0.049	perm	484
0.049	perm	485
0.049	perm	486
0.049	perm	487
0.049	perm	488
0.049	perm	489
0.049	perm	490
0.049	perm	491
0.049	perm	492
0.049	perm	493
0.049	perm	494
0.049	perm	495
0.048	perm	496
0.048	perm	497
0.048	perm	498
0.048	perm	499
0.048	perm	500
0.048	perm	501
0.048	perm	502
0.048	perm	503
0.048	perm	504
0.048	perm	505
0.048	perm	506
0.048	perm	507
0.048	perm	508
0.048	perm	509
0.048	perm	510
0.048	perm	511
0.048	perm	512
0.048	perm	513
0.048	perm	514
0.048	perm	515
0.048	perm	516
0.048	perm	517
0.048	perm	518
0.048	perm	519
0.048	perm	520
0.048	perm	521
0.048	perm	522
0.048	perm	523
0.048	perm	524
0.048	perm	525
0.048	perm	526
0.048	perm	527
0.048	perm	528
0.048	perm	529
0.048	perm	530
0.048	perm	531
0.048	perm	532
0.048	perm	533
0.048	perm	534
0.047	perm	535
0.047	perm	536
0.047	perm	537
0.047	perm	538
0.047	perm	539
0.047	perm	540
0.047	perm	541
0.047	perm	542
0.047	perm	543
0.047	perm	544
0.047	perm	545
0.047	perm	546
0.047	perm	547
0.047	perm	548
0.047	perm	549
0.047	perm	550
0.047	perm	551
0.047	perm	552
0.047	perm	553
0.047	perm	554
0.047	perm	555
0.047	perm	556
0.047	perm	557
0.047	perm	558
0.047	perm	559
0.047	perm	560
0.047	perm	561
0.047	perm	562
0.046	perm	563
0.046	perm	564
0.046	perm	565
0.046	perm	566
0.046	perm	567
0.046	perm	568
0.046	perm	569
0.046	perm	570
0.046	perm	571
0.046	perm	572
0.046	perm	573
0.046	perm	574
0.046	perm	575
0.046	perm	576
0.046	perm	577
0.046	perm	578
0.046	perm	579
0.046	perm	580
0.046	perm	581
0.046	perm	582
0.046	perm	583
0.046	perm	584
0.046	perm	585
0.046	perm	586
0.046	perm	587
0.046	perm	588
0.046	perm	589
0.046	perm	590
0.046	perm	591
0.046	perm	592
0.046	perm	593
0.046	perm	594
0.046	perm	595
0.046	perm	596
0.046	perm	597
0.046	perm	598
0.046	perm	599
0.046	perm	600
0.045	perm	601
0.045	perm	602
0.045	perm	603
0.045	perm	604
0.045	perm	605
0.045	perm	606
0.045	perm	607
0.045	perm	608
0.045	perm	609
0.045	perm	610
0.045	perm	611
0.045	perm	612
0.045	perm	613
0.045	perm	614
0.045	perm	615
0.045	perm	616
0.045	perm	617
0.045	perm	618
0.045	perm	619
0.045	perm	620
0.045	perm	621
0.045	perm	622
0.045	perm	623
0.045	perm	624
0.045	perm	625
0.045	perm	626
0.045	perm	627
0.045	perm	628
0.045	perm	629
0.045	perm	630
0.044	perm	631
0.044	perm	632
0.044	perm	633
0.044	perm	634
0.044	perm	635
0.044	perm	636
0.044	perm	637
0.044	perm	638
0.044	perm	639
0.044	perm	640
0.044	perm	641
0.044	perm	642
0.044	perm	643
0.044	perm	644
0.044	perm	645
0.044	perm	646
0.044	perm	647
0.044	perm	648
0.044	perm	649
0.044	perm	650
0.044	perm	651
0.044	perm	652
0.044	perm	653
0.044	perm	654
0.044	perm	655
0.044	perm	656
0.044	perm	657
0.044	perm	658
0.044	perm	659
0.044	perm	660
0.044	perm	661
0.044	perm	662
0.044	perm	663
0.044	perm	664
0.044	perm	665
0.044	perm	666
0.044	perm	667
0.044	perm	668
0.043	perm	669
0.043	perm	670
0.043	perm	671
0.043	perm	672
0.043	perm	673
0.043	perm	674
0.043	perm	675
0.043	perm	676
0.043	perm	677
0.043	perm	678
0.043	perm	679
0.043	perm	680
0.043	perm	681
0.043	perm	682
0.043	perm	683
0.043	perm	684
0.043	perm	685
0.043	perm	686
0.043	perm	687
0.043	perm	688
0.043	perm	689
0.043	perm	690
0.043	perm	691
0.043	perm	692
0.043	perm	693
0.043	perm	694
0.043	perm	695
0.043	perm	696
0.043	perm	697
0.043	perm	698
0.043	perm	699
0.043	perm	700
0.043	perm	701
0.043	perm	702
0.043	perm	703
0.043	perm	704
0.043	perm	705
0.043	perm	706
0.043	perm	707
0.043	perm	708
0.043	perm	709
0.042	perm	710
0.042	perm	711
0.042	perm	712
0.042	perm	713
0.042	perm	714
0.042	perm	715
0.042	perm	716
0.042	perm	717
0.042	perm	718
0.042	perm	719
0.042	perm	720
0.042	perm	721
0.042	perm	722
0.042	perm	723
0.042	perm	724
0.042	perm	725
0.042	perm	726
0.042	perm	727
0.042	perm	728
0.042	perm	729
0.042	perm	730
0.042	perm	731
0.042	perm	732
0.042	perm	733
0.042	perm	734
0.042	perm	735
0.042	perm	736
0.042	perm	737
0.042	perm	738
0.042	perm	739
0.042	perm	740
0.042	perm	741
0.042	perm	742
0.042	perm	743
0.042	perm	744
0.042	perm	745
0.042	perm	746
0.042	perm	747
0.042	perm	748
0.042	perm	749
0.042	perm	750
0.042	perm	751
0.042	perm	752
0.042	perm	753
0.042	perm	754
0.042	perm	755
0.042	perm	756
0.042	perm	757
0.042	perm	758
0.041	perm	759
0.041	perm	760
0.041	perm	761
0.041	perm	762
0.041	perm	763
0.041	perm	764
0.041	perm	765
0.041	perm	766
0.041	perm	767
0.041	perm	768
0.041	perm	769
0.041	perm	770
0.041	perm	771
0.041	perm	772
0.041	perm	773
0.041	perm	774
0.041	perm	775
0.041	perm	776
0.041	perm	777
0.041	perm	778
0.041	perm	779
0.041	perm	780
0.041	perm	781
0.041	perm	782
0.041	perm	783
0.041	perm	784
0.041	perm	785
0.041	perm	786
0.041	perm	787
0.041	perm	788
0.041	perm	789
0.041	perm	790
0.041	perm	791
0.041	perm	792
0.041	perm	793
0.041	perm	794
0.041	perm	795
0.041	perm	796
0.041	perm	797
0.041	perm	798
0.041	perm	799
0.041	perm	800
0.041	perm	801
0.041	perm	802
0.041	perm	803
0.04	perm	804
0.04	perm	805
0.04	perm	806
0.04	perm	807
0.04	perm	808
0.04	perm	809
0.04	perm	810
0.04	perm	811
0.04	perm	812
0.04	perm	813
0.04	perm	814
0.04	perm	815
0.04	perm	816
0.04	perm	817
0.04	perm	818
0.04	perm	819
0.04	perm	820
0.04	perm	821
0.04	perm	822
0.04	perm	823
0.04	perm	824
0.04	perm	825
0.04	perm	826
0.04	perm	827
0.04	perm	828
0.04	perm	829
0.04	perm	830
0.04	perm	831
0.04	perm	832
0.04	perm	833
0.04	perm	834
0.04	perm	835
0.04	perm	836
0.04	perm	837
0.04	perm	838
0.04	perm	839
0.04	perm	840
0.04	perm	841
0.04	perm	842
0.04	perm	843
0.04	perm	844
0.04	perm	845
0.04	perm	846
0.04	perm	847
0.04	perm	848
0.04	perm	849
0.04	perm	850
0.04	perm	851
0.04	perm	852
0.04	perm	853
0.04	perm	854
0.04	perm	855
0.04	perm	856
0.04	perm	857
0.04	perm	858
0.04	perm	859
0.04	perm	860
0.04	perm	861
0.039	perm	862
0.039	perm	863
0.039	perm	864
0.039	perm	865
0.039	perm	866
0.039	perm	867
0.039	perm	868
0.039	perm	869
0.039	perm	870
0.039	perm	871
0.039	perm	872
0.039	perm	873
0.039	perm	874
0.039	perm	875
0.039	perm	876
0.039	perm	877
0.039	perm	878
0.039	perm	879
0.039	perm	880
0.039	perm	881
0.039	perm	882
0.039	perm	883
0.039	perm	884
0.039	perm	885
0.039	perm	886
0.039	perm	887
0.039	perm	888
0.039	perm	889
0.039	perm	890
0.039	perm	891
0.039	perm	892
0.039	perm	893
0.039	perm	894
0.039	perm	895
0.039	perm	896
0.039	perm	897
0.039	perm	898
0.039	perm	899
0.039	perm	900
0.039	perm	901
0.039	perm	902
0.039	perm	903
0.039	perm	904
0.039	perm	905
0.039	perm	906
0.039	perm	907
0.039	perm	908
0.039	perm	909
0.038	perm	910
0.038	perm	911
0.038	perm	912
0.038	perm	913
0.038	perm	914
0.038	perm	915
0.038	perm	916
0.038	perm	917
0.038	perm	918
0.038	perm	919
0.038	perm	920
0.038	perm	921
0.038	perm	922
0.038	perm	923
0.038	perm	924
0.038	perm	925
0.038	perm	926
0.038	perm	927
0.038	perm	928
0.038	perm	929
0.038	perm	930
0.038	perm	931
0.038	perm	932
0.038	perm	933
0.038	perm	934
0.038	perm	935
0.038	perm	936
0.038	perm	937
0.038	perm	938
0.038	perm	939
0.038	perm	940
0.038	perm	941
0.038	perm	942
0.038	perm	943
0.038	perm	944
0.038	perm	945
0.038	perm	946
0.038	perm	947
0.038	perm	948
0.038	perm	949
0.038	perm	950
0.038	perm	951
0.038	perm	952
0.038	perm	953
0.038	perm	954
0.038	perm	955
0.038	perm	956
0.038	perm	957
0.038	perm	958
0.038	perm	959
0.038	perm	960
0.038	perm	961
0.038	perm	962
0.038	perm	963
0.038	perm	964
0.038	perm	965
0.038	perm	966
0.038	perm	967
0.038	perm	968
0.038	perm	969
0.038	perm	970
0.037	perm	971
0.037	perm	972
0.037	perm	973
0.037	perm	974
0.037	perm	975
0.037	perm	976
0.037	perm	977
0.037	perm	978
0.037	perm	979
0.037	perm	980
0.037	perm	981
0.037	perm	982
0.037	perm	983
0.037	perm	984
0.037	perm	985
0.037	perm	986
0.037	perm	987
0.037	perm	988
0.037	perm	989
0.037	perm	990
0.037	perm	991
0.037	perm	992
0.037	perm	993
0.037	perm	994
0.037	perm	995
0.037	perm	996
0.037	perm	997
0.037	perm	998
0.037	perm	999
0.037	perm	1000
0.037	perm	1001
0.037	perm	1002
0.037	perm	1003
0.037	perm	1004
0.037	perm	1005
0.037	perm	1006
0.037	perm	1007
0.037	perm	1008
0.037	perm	1009
0.037	perm	1010
0.037	perm	1011
0.037	perm	1012
0.037	perm	1013
0.037	perm	1014
0.037	perm	1015
0.037	perm	1016
0.037	perm	1017
0.037	perm	1018
0.037	perm	1019
0.037	perm	1020
0.037	perm	1021
0.037	perm	1022
0.037	perm	1023
0.037	perm	1024
0.037	perm	1025
0.037	perm	1026
0.037	perm	1027
0.037	perm	1028
0.037	perm	1029
0.037	perm	1030
0.037	perm	1031
0.037	perm	1032
0.037	perm	1033
0.037	perm	1034
0.037	perm	1035
0.037	perm	1036
0.037	perm	1037
0.037	perm	1038
0.037	perm	1039
0.037	perm	1040
0.037	perm	1041
0.037	perm	1042
0.037	perm	1043
0.037	perm	1044
0.036	perm	1045
0.036	perm	1046
0.036	perm	1047
0.036	perm	1048
0.036	perm	1049
0.036	perm	1050
0.036	perm	1051
0.036	perm	1052
0.036	perm	1053
0.036	perm	1054
0.036	perm	1055
0.036	perm	1056
0.036	perm	1057
0.036	perm	1058
0.036	perm	1059
0.036	perm	1060
0.036	perm	1061
0.036	perm	1062
0.036	perm	1063
0.036	perm	1064
0.036	perm	1065
0.036	perm	1066
0.036	perm	1067
0.036	perm	1068
0.036	perm	1069
0.036	perm	1070
0.036	perm	1071
0.036	perm	1072
0.036	perm	1073
0.036	perm	1074
0.036	perm	1075
0.036	perm	1076
0.036	perm	1077
0.036	perm	1078
0.036	perm	1079
0.036	perm	1080
0.036	perm	1081
0.036	perm	1082
0.036	perm	1083
0.036	perm	1084
0.036	perm	1085
0.036	perm	1086
0.036	perm	1087
0.036	perm	1088
0.036	perm	1089
0.036	perm	1090
0.036	perm	1091
0.036	perm	1092
0.036	perm	1093
0.036	perm	1094
0.036	perm	1095
0.036	perm	1096
0.036	perm	1097
0.036	perm	1098
0.035	perm	1099
0.035	perm	1100
0.035	perm	1101
0.035	perm	1102
0.035	perm	1103
0.035	perm	1104
0.035	perm	1105
0.035	perm	1106
0.035	perm	1107
0.035	perm	1108
0.035	perm	1109
0.035	perm	1110
0.035	perm	1111
0.035	perm	1112
0.035	perm	1113
0.035	perm	1114
0.035	perm	1115
0.035	perm	1116
0.035	perm	1117
0.035	perm	1118
0.035	perm	1119
0.035	perm	1120
0.035	perm	1121
0.035	perm	1122
0.035	perm	1123
0.035	perm	1124
0.035	perm	1125
0.035	perm	1126
0.035	perm	1127
0.035	perm	1128
0.035	perm	1129
0.035	perm	1130
0.035	perm	1131
0.035	perm	1132
0.035	perm	1133
0.035	perm	1134
0.035	perm	1135
0.035	perm	1136
0.035	perm	1137
0.035	perm	1138
0.035	perm	1139
0.035	perm	1140
0.035	perm	1141
0.035	perm	1142
0.035	perm	1143
0.035	perm	1144
0.035	perm	1145
0.035	perm	1146
0.035	perm	1147
0.035	perm	1148
0.035	perm	1149
0.035	perm	1150
0.035	perm	1151
0.035	perm	1152
0.035	perm	1153
0.035	perm	1154
0.035	perm	1155
0.035	perm	1156
0.035	perm	1157
0.035	perm	1158
0.035	perm	1159
0.035	perm	1160
0.035	perm	1161
0.035	perm	1162
0.035	perm	1163
0.035	perm	1164
0.035	perm	1165
0.035	perm	1166
0.035	perm	1167
0.035	perm	1168
0.035	perm	1169
0.034	perm	1170
0.034	perm	1171
0.034	perm	1172
0.034	perm	1173
0.034	perm	1174
0.034	perm	1175
0.034	perm	1176
0.034	perm	1177
0.034	perm	1178
0.034	perm	1179
0.034	perm	1180
0.034	perm	1181
0.034	perm	1182
0.034	perm	1183
0.034	perm	1184
0.034	perm	1185
0.034	perm	1186
0.034	perm	1187
0.034	perm	1188
0.034	perm	1189
0.034	perm	1190
0.034	perm	1191
0.034	perm	1192
0.034	perm	1193
0.034	perm	1194
0.034	perm	1195
0.034	perm	1196
0.034	perm	1197
0.034	perm	1198
0.034	perm	1199
0.034	perm	1200
0.034	perm	1201
0.034	perm	1202
0.034	perm	1203
0.034	perm	1204
0.034	perm	1205
0.034	perm	1206
0.034	perm	1207
0.034	perm	1208
0.034	perm	1209
0.034	perm	1210
0.034	perm	1211
0.034	perm	1212
0.034	perm	1213
0.034	perm	1214
0.034	perm	1215
0.034	perm	1216
0.034	perm	1217
0.034	perm	1218
0.034	perm	1219
0.034	perm	1220
0.034	perm	1221
0.034	perm	1222
0.034	perm	1223
0.034	perm	1224
0.034	perm	1225
0.034	perm	1226
0.034	perm	1227
0.034	perm	1228
0.034	perm	1229
0.034	perm	1230
0.034	perm	1231
0.034	perm	1232
0.033	perm	1233
0.033	perm	1234
0.033	perm	1235
0.033	perm	1236
0.033	perm	1237
0.033	perm	1238
0.033	perm	1239
0.033	perm	1240
0.033	perm	1241
0.033	perm	1242
0.033	perm	1243
0.033	perm	1244
0.033	perm	1245
0.033	perm	1246
0.033	perm	1247
0.033	perm	1248
0.033	perm	1249
0.033	perm	1250
0.033	perm	1251
0.033	perm	1252
0.033	perm	1253
0.033	perm	1254
0.033	perm	1255
0.033	perm	1256
0.033	perm	1257
0.033	perm	1258
0.033	perm	1259
0.033	perm	1260
0.033	perm	1261
0.033	perm	1262
0.033	perm	1263
0.033	perm	1264
0.033	perm	1265
0.033	perm	1266
0.033	perm	1267
0.033	perm	1268
0.033	perm	1269
0.033	perm	1270
0.033	perm	1271
0.033	perm	1272
0.033	perm	1273
0.033	perm	1274
0.033	perm	1275
0.033	perm	1276
0.033	perm	1277
0.033	perm	1278
0.033	perm	1279
0.033	perm	1280
0.033	perm	1281
0.033	perm	1282
0.033	perm	1283
0.033	perm	1284
0.033	perm	1285
0.033	perm	1286
0.033	perm	1287
0.033	perm	1288
0.033	perm	1289
0.033	perm	1290
0.033	perm	1291
0.033	perm	1292
0.033	perm	1293
0.033	perm	1294
0.033	perm	1295
0.033	perm	1296
0.033	perm	1297
0.033	perm	1298
0.033	perm	1299
0.033	perm	1300
0.033	perm	1301
0.033	perm	1302
0.033	perm	1303
0.033	perm	1304
0.033	perm	1305
0.033	perm	1306
0.033	perm	1307
0.032	perm	1308
0.032	perm	1309
0.032	perm	1310
0.032	perm	1311
0.032	perm	1312
0.032	perm	1313
0.032	perm	1314
0.032	perm	1315
0.032	perm	1316
0.032	perm	1317
0.032	perm	1318
0.032	perm	1319
0.032	perm	1320
0.032	perm	1321
0.032	perm	1322
0.032	perm	1323
0.032	perm	1324
0.032	perm	1325
0.032	perm	1326
0.032	perm	1327
0.032	perm	1328
0.032	perm	1329
0.032	perm	1330
0.032	perm	1331
0.032	perm	1332
0.032	perm	1333
0.032	perm	1334
0.032	perm	1335
0.032	perm	1336
0.032	perm	1337
0.032	perm	1338
0.032	perm	1339
0.032	perm	1340
0.032	perm	1341
0.032	perm	1342
0.032	perm	1343
0.032	perm	1344
0.032	perm	1345
0.032	perm	1346
0.032	perm	1347
0.032	perm	1348
0.032	perm	1349
0.032	perm	1350
0.032	perm	1351
0.032	perm	1352
0.032	perm	1353
0.032	perm	1354
0.032	perm	1355
0.032	perm	1356
0.032	perm	1357
0.032	perm	1358
0.032	perm	1359
0.032	perm	1360
0.032	perm	1361
0.032	perm	1362
0.032	perm	1363
0.032	perm	1364
0.032	perm	1365
0.032	perm	1366
0.032	perm	1367
0.032	perm	1368
0.032	perm	1369
0.032	perm	1370
0.032	perm	1371
0.032	perm	1372
0.032	perm	1373
0.032	perm	1374
0.032	perm	1375
0.032	perm	1376
0.032	perm	1377
0.032	perm	1378
0.032	perm	1379
0.032	perm	1380
0.032	perm	1381
0.032	perm	1382
0.032	perm	1383
0.032	perm	1384
0.032	perm	1385
0.032	perm	1386
0.032	perm	1387
0.032	perm	1388
0.032	perm	1389
0.031	perm	1390
0.031	perm	1391
0.031	perm	1392
0.031	perm	1393
0.031	perm	1394
0.031	perm	1395
0.031	perm	1396
0.031	perm	1397
0.031	perm	1398
0.031	perm	1399
0.031	perm	1400
0.031	perm	1401
0.031	perm	1402
0.031	perm	1403
0.031	perm	1404
0.031	perm	1405
0.031	perm	1406
0.031	perm	1407
0.031	perm	1408
0.031	perm	1409
0.031	perm	1410
0.031	perm	1411
0.031	perm	1412
0.031	perm	1413
0.031	perm	1414
0.031	perm	1415
0.031	perm	1416
0.031	perm	1417
0.031	perm	1418
0.031	perm	1419
0.031	perm	1420
0.031	perm	1421
0.031	perm	1422
0.031	perm	1423
0.031	perm	1424
0.031	perm	1425
0.031	perm	1426
0.031	perm	1427
0.031	perm	1428
0.031	perm	1429
0.031	perm	1430
0.031	perm	1431
0.031	perm	1432
0.031	perm	1433
0.031	perm	1434
0.031	perm	1435
0.031	perm	1436
0.031	perm	1437
0.031	perm	1438
0.031	perm	1439
0.031	perm	1440
0.031	perm	1441
0.031	perm	1442
0.031	perm	1443
0.031	perm	1444
0.031	perm	1445
0.031	perm	1446
0.031	perm	1447
0.031	perm	1448
0.031	perm	1449
0.031	perm	1450
0.031	perm	1451
0.031	perm	1452
0.031	perm	1453
0.031	perm	1454
0.031	perm	1455
0.031	perm	1456
0.031	perm	1457
0.031	perm	1458
0.031	perm	1459
0.031	perm	1460
0.031	perm	1461
0.031	perm	1462
0.031	perm	1463
0.031	perm	1464
0.031	perm	1465
0.031	perm	1466
0.031	perm	1467
0.031	perm	1468
0.031	perm	1469
0.031	perm	1470
0.031	perm	1471
0.031	perm	1472
0.031	perm	1473
0.031	perm	1474
0.031	perm	1475
0.031	perm	1476
0.031	perm	1477
0.031	perm	1478
0.031	perm	1479
0.031	perm	1480
0.031	perm	1481
0.031	perm	1482
0.031	perm	1483
0.031	perm	1484
0.031	perm	1485
0.031	perm	1486
0.031	perm	1487
0.031	perm	1488
0.031	perm	1489
0.03	perm	1490
0.03	perm	1491
0.03	perm	1492
0.03	perm	1493
0.03	perm	1494
0.03	perm	1495
0.03	perm	1496
0.03	perm	1497
0.03	perm	1498
