cor	gene
0.182	ZC3H13
0.182	CYFIP1
0.182	NEO1
0.182	DCTN5
0.181	ERO1B
0.181	ATP11B
0.181	PPFIA1
0.181	ALG8
0.181	MAPKAPK5
0.181	SBNO1
0.181	SIN3B
0.181	MEGF8
0.18	CDC23
0.18	CWF19L2
0.18	AKAP11
0.18	UBE3A
0.18	CDC6
0.18	ATP13A1
0.18	ZNF431
0.179	DOCK7
0.179	UBAP2L
0.179	AHCTF1
0.179	LRPPRC
0.179	USP34
0.179	POM121C
0.179	CBWD5
0.179	PARPBP
0.179	CCDC130
0.179	ZNF93
0.179	ZNF91
0.178	TREML2
0.178	HECTD4
0.178	TCF12
0.178	FANCA
0.177	MTF2
0.177	NISCH
0.177	TRMT11
0.177	ZNF736
0.177	KMT2C
0.177	NCOA2
0.177	ALG5
0.177	SUPT20H
0.177	DICER1
0.177	NPC1
0.177	ATRN
0.177	MCM5
0.176	TOPBP1
0.176	PALD1
0.176	ANKRD52
0.176	MED13
0.176	PPP6R2
0.176	TMEM50B
0.176	BRWD1
0.175	TMEM9
0.175	NUP155
0.175	MKLN1
0.175	JPX
0.175	TNFRSF10C
0.175	KMT2D
0.175	VEZT
0.175	CENPJ
0.175	TRPM7
0.174	RSRC1
0.174	IPO11
0.174	MZB1
0.174	SEC63
0.174	DPP9
0.173	CFH
0.173	CIP2A
0.173	SRRT
0.173	GRIPAP1
0.173	AL022157.1
0.173	STK3
0.173	SLF2
0.173	PPP1R12A
0.173	NCOR2
0.173	ATP11A
0.173	ARHGAP5
0.173	MGA
0.173	GLYR1
0.172	DHCR24
0.172	SASS6
0.172	LRIF1
0.172	KHDC4
0.172	TMEM87B
0.172	CLASP1
0.172	DHX30
0.172	HTT
0.172	SCARB2
0.172	GINM1
0.172	HAUS6
0.172	SLC43A3
0.172	SYVN1
0.172	SERPINH1
0.172	KPNB1
0.171	LRPAP1
0.171	MAN2B2
0.171	GINS4
0.171	ETNK1
0.171	CEP112
0.171	PRR14L
0.17	ZDBF2
0.17	STT3B
0.17	TIMELESS
0.17	SUPT6H
0.17	CERK
0.17	HSPA13
0.169	CDK11A
0.169	ACOT7
0.169	RAD54L2
0.169	NSUN2
0.169	PANK3
0.169	MEA1
0.169	NUP58
0.169	CDC42BPB
0.169	MYEF2
0.169	PPIB
0.169	SCAPER
0.169	CENPT
0.169	DNMT1
0.168	USP24
0.168	GFPT1
0.168	RBM6
0.168	STAG1
0.168	HAUS3
0.168	SMARCA5
0.168	CLCN3
0.168	BRD9
0.168	PPIP5K2
0.168	LAMP2
0.168	POLR3A
0.168	EIF2AK4
0.168	TNRC6A
0.168	NUFIP2
0.168	DGKE
0.168	ZNF331
0.168	UTY
0.168	HPS4
0.167	UBXN4
0.167	PEX1
0.167	RBM33
0.167	PAAF1
0.167	CHORDC1
0.167	SNX19
0.167	ATAD1
0.167	PUS7L
0.167	CCNT1
0.167	CEP290
0.167	VPS13C
0.167	STX16
0.167	ARHGAP35
0.167	KDM5D
0.166	P3H1
0.166	MPZL1
0.166	MGST2
0.166	ICE1
0.166	VPS37A
0.166	SPTLC1
0.166	RAD51AP1
0.166	NAA16
0.166	RTF1
0.166	TSC2
0.166	GOSR1
0.166	DDX52
0.166	TOP1
0.165	TMCC1
0.165	SLC26A2
0.165	FBXO9
0.165	CENPP
0.165	PAPOLA
0.165	RCOR1
0.165	DERL2
0.165	ZNF682
0.164	AGO3
0.164	RAF1
0.164	APC
0.164	DDX46
0.164	DST
0.164	TRRAP
0.164	SLC4A2
0.164	PFKP
0.164	HERC4
0.164	ALOX5AP
0.164	ITFG1
0.164	NFE2L1
0.164	HELZ
0.164	TMX3
0.163	COL6A3
0.163	COL4A3BP
0.163	MAN2A1
0.163	MTCH1
0.163	LAPTM4B
0.163	ODF2
0.163	FNBP4
0.163	PNN
0.163	MTMR4
0.163	BSG
0.162	PLOD1
0.162	HEATR1
0.162	PSMD2
0.162	ANKHD1
0.162	NOM1
0.162	CEMIP2
0.162	QSER1
0.162	WDR11
0.162	GABPB1-AS1
0.162	CNOT1
0.162	DDX42
0.161	ANKRD36C
0.161	CCNT2
0.161	GFM2
0.161	HSPA9
0.161	ZNF117
0.161	TMEM245
0.161	PDZD8
0.161	TMBIM6
0.161	ANAPC7
0.161	CHD8
0.161	SLC38A6
0.161	EMC7
0.161	RTTN
0.161	SUPT5H
0.161	KDELR1
0.16	MYSM1
0.16	STRIP1
0.16	FEZ2
0.16	DNAJC13
0.16	REST
0.16	ZKSCAN1
0.16	EHMT1
0.16	CCDC88B
0.16	DGKH
0.16	MED1
0.16	ME2
0.16	BRD4
0.16	SREBF2
0.159	LY9
0.159	TOR1AIP2
0.159	METTL8
0.159	HIBCH
0.159	PIKFYVE
0.159	CHPF
0.159	MAP3K11
0.159	VWA8
0.159	DDHD1
0.159	UBN1
0.159	SHCBP1
0.159	USP22
0.158	ZNF644
0.158	SLC35A3
0.158	PCYOX1
0.158	TGOLN2
0.158	ATP13A3
0.158	TMEM33
0.158	TMEM131L
0.158	CCDC136
0.158	SQLE
0.158	EDRF1
0.158	ZC3H14
0.158	TCF25
0.158	ENOSF1
0.157	LYPLAL1
0.157	MREG
0.157	CAPN7
0.157	ETF1
0.157	SENP6
0.157	ARID1B
0.157	TNRC18
0.157	RECQL4
0.157	SBF2
0.157	CHEK1
0.157	FAM208B
0.157	WDR90
0.157	VPS53
0.157	BPTF
0.157	LGALS3BP
0.157	RBL1
0.157	CHD6
0.157	REXO1
0.156	ZMYM4
0.156	CCDC18
0.156	COPA
0.156	LRBA
0.156	UBN2
0.156	MAGED2
0.156	PUM3
0.156	CELF1
0.156	MAP4K2
0.156	BRD7
0.156	SMG6
0.156	MYDGF
0.156	PCNT
0.155	CCNL2
0.155	ODC1
0.155	PDCD6IP
0.155	HSPA4
0.155	ZNF292
0.155	DDX56
0.155	RTN3
0.155	TCIRG1
0.155	RNF10
0.155	RALGAPA1
0.155	GPHN
0.155	EIF2S1
0.155	RCN2
0.155	AC011447.3
0.155	IL4I1
0.155	SFI1
0.154	UBE4B
0.154	TMCO1
0.154	BUD23
0.154	TSC1
0.154	PSAP
0.154	CLIP1
0.154	SELENOS
0.154	SPPL2B
0.154	ZNF726
0.154	EMC10
0.153	MTOR
0.153	RPAP2
0.153	ST7L
0.153	GLS
0.153	NSD2
0.153	FBXW11
0.153	SKAP2
0.153	PGRMC1
0.153	IARS
0.153	RSF1
0.153	SCYL2
0.153	COQ6
0.153	PDPK1
0.153	ARFGEF2
0.152	BTBD8
0.152	DLG1
0.152	SLC12A2
0.152	HBS1L
0.152	GRINA
0.152	SEC16A
0.152	RPS6KB2
0.152	LARP4B
0.152	NHLRC2
0.152	PPFIBP1
0.152	NDFIP2
0.152	PCNX1
0.152	FAN1
0.152	CASC4
0.152	SRRM2
0.151	ADAR
0.151	LIMS1
0.151	OPA1
0.151	SLC30A9
0.151	CENPH
0.151	CMTR1
0.151	CD109
0.151	ARHGEF5
0.151	TACC1
0.151	SLC3A2
0.151	KLC2
0.151	DNM1L
0.151	INTS6
0.151	SLC12A6
0.151	DHRS7B
0.151	CNDP2
0.151	GPATCH1
0.151	DMPK
0.15	MACF1
0.15	AGL
0.15	DTL
0.15	AAMP
0.15	CRELD1
0.15	SMC4
0.15	NIPBL
0.15	TBC1D9B
0.15	UFL1
0.15	EMSY
0.15	PARG
0.15	AQR
0.15	SMG1
0.15	LDLRAD4
0.15	MUM1
0.149	KIF1B
0.149	MSTO1
0.149	ADAM17
0.149	MCFD2
0.149	PRPF40A
0.149	USP9X
0.149	CAPRIN1
0.149	ABCC4
0.149	USP8
0.149	C15orf40
0.149	QTRT1
0.149	TBC1D22A
0.148	SRGAP2
0.148	CBWD2
0.148	IWS1
0.148	DROSHA
0.148	SRPK1
0.148	MCM4
0.148	GAPVD1
0.148	P4HA1
0.148	FANCM
0.148	RAD51B
0.148	GOLGA8B
0.148	PDCD7
0.148	MIS18A
0.148	MCM3AP
0.147	SDCCAG8
0.147	GALNT7
0.147	HDAC3
0.147	MDN1
0.147	ZNF680
0.147	IFT74
0.147	HIF1AN
0.147	VTI1A
0.147	MON2
0.147	SCFD1
0.147	UBR1
0.147	ABCC1
0.147	THOP1
0.147	HAUS5
0.146	PIP5K1A
0.146	NCKAP1
0.146	BMPR2
0.146	NBEAL2
0.146	FIP1L1
0.146	HBEGF
0.146	HMGXB3
0.146	TCOF1
0.146	HCG18
0.146	USP47
0.146	RBM26
0.146	HECTD1
0.146	CCNK
0.146	LMAN1
0.146	ZNF85
0.145	POMGNT1
0.145	ANAPC1
0.145	TSTA3
0.145	PMPCA
0.145	NUP98
0.145	TMEM25
0.145	SAMD8
0.145	EEA1
0.145	SART3
0.145	ICE2
0.145	TSR1
0.145	UHRF1
0.144	LRIG2
0.144	GPR89A
0.144	UCHL5
0.144	IL17RE
0.144	CCDC50
0.144	SEL1L3
0.144	SEC24B
0.144	SPIDR
0.144	SMU1
0.144	SMC5
0.144	ZDHHC5
0.144	CCAR1
0.144	TCTN3
0.144	C1RL-AS1
0.144	PDXDC1
0.144	RSPRY1
0.144	AP1G1
0.144	DHX38
0.144	GINS2
0.144	PIK3C3
0.143	AMPD2
0.143	ODR4
0.143	TTC21B
0.143	GIGYF2
0.143	TFDP2
0.143	SEPSECS-AS1
0.143	GNL1
0.143	OSTM1
0.143	BRAF
0.143	SCML1
0.143	ATRX
0.143	ATG2B
0.143	NPTN
0.143	CRK
0.143	KIAA1468
0.142	HIPK1
0.142	RPS6KC1
0.142	C1orf35
0.142	SLC30A6
0.142	SACM1L
0.142	PIGG
0.142	MSMO1
0.142	MAGED1
0.142	KDM5C
0.142	ALG2
0.142	SURF4
0.142	KRR1
0.142	EFCAB11
0.142	GOLGA5
0.142	CHTF18
0.142	MPRIP
0.142	BST2
0.141	CEP104
0.141	ZNF678
0.141	REV1
0.141	ATP2C1
0.141	RAPGEF2
0.141	SLC30A5
0.141	CHD1
0.141	YTHDC2
0.141	AVL9
0.141	ELMO1
0.141	FBXW2
0.141	ENG
0.141	BX255925.3
0.141	POLD3
0.141	CCDC6
0.141	OGA
0.141	DDX11
0.141	GCN1
0.141	UBFD1
0.141	ZNF720
0.141	TNPO2
0.141	ZNF254
0.141	MAPK1
0.141	GGT1
0.14	GON4L
0.14	TP53BP2
0.14	CEP170
0.14	ADI1
0.14	MTA3
0.14	PHC3
0.14	NAA15
0.14	PPP1R10
0.14	WASF1
0.14	CDK13
0.14	CALU
0.14	DPY19L4
0.14	PIK3C2A
0.14	EXT2
0.14	ERC1
0.14	UTP20
0.14	DENR
0.14	SUGT1
0.14	TAOK2
0.14	ZNF267
0.14	USP14
0.14	CC2D1A
0.14	ZNF486
0.139	PPP4R3B
0.139	TTN
0.139	DNAJC10
0.139	CTNNB1
0.139	ARF4
0.139	OCIAD1
0.139	YTHDC1
0.139	CPLANE1
0.139	CSNK1A1
0.139	ZNF451
0.139	CHCHD3
0.139	RAD54B
0.139	RECK
0.139	INVS
0.139	KIN
0.139	WASHC2A
0.139	LDB1
0.139	MANSC1
0.139	PCNX4
0.139	FAM214A
0.139	HACD3
0.139	ZNF207
0.139	AARSD1
0.139	CSNK2A1
0.139	PACSIN2
0.139	TTC3
0.138	EVI5
0.138	MAP3K20
0.138	TRAIP
0.138	SEC24A
0.138	TULP4
0.138	AFDN
0.138	TYW1
0.138	SMC1A
0.138	SLC52A2
0.138	MAPKAP1
0.138	PSMC3
0.138	NUP160
0.138	FEN1
0.138	SDSL
0.138	OAZ2
0.138	FAH
0.138	FANCI
0.138	TICRR
0.138	CREBBP
0.138	MBTPS1
0.138	ZZEF1
0.138	MED24
0.138	KANSL1
0.138	ZSCAN30
0.137	NOTCH2
0.137	SMG7
0.137	ROCK2
0.137	HNRNPLL
0.137	EXOC6B
0.137	SLC35F5
0.137	NABP1
0.137	FAM126B
0.137	IQCB1
0.137	TCP1
0.137	CACUL1
0.137	MARS
0.137	ARIH1
0.137	ELAVL1
0.137	XPNPEP3
0.136	EXOSC10
0.136	TAMM41
0.136	LRIG1
0.136	ANAPC4
0.136	MOB1B
0.136	CENPU
0.136	ERCC8
0.136	PGGT1B
0.136	HNRNPH1
0.136	ARHGAP18
0.136	SNX13
0.136	SLC25A13
0.136	MTBP
0.136	RNF121
0.136	GBF1
0.136	MBNL2
0.136	MARK3
0.136	PPIP5K1
0.136	ZNF609
0.136	PML
0.136	ZNF598
0.136	AC015813.1
0.136	PSMD12
0.136	WBP2
0.136	TBCD
0.136	RASAL3
0.136	SDF2L1
0.136	NIPSNAP1
0.136	PAXBP1
0.135	ECHDC2
0.135	ETV3
0.135	HMGCS1
0.135	PHF6
0.135	VPS13A
0.135	ANO6
0.135	CCT2
0.135	MLXIP
0.135	LAMP1
0.135	TMCO3
0.135	NEMF
0.135	KLC1
0.135	LINS1
0.135	LPCAT2
0.135	GINS1
0.135	ZNF257
0.134	VPS13D
0.134	NRDC
0.134	NCOA1
0.134	SPR
0.134	SLC4A7
0.134	LRRFIP2
0.134	ZNF197
0.134	GAK
0.134	DHX15
0.134	UBA6
0.134	MCCC2
0.134	PJA2
0.134	BCLAF1
0.134	LATS1
0.134	TMED4
0.134	ZNF138
0.134	FZD6
0.134	MIGA2
0.134	ZDHHC13
0.134	TMX2
0.134	KIF20B
0.134	ERGIC2
0.134	ARF3
0.134	PRPF40B
0.134	DLEU2
0.134	RNF219
0.134	TMEM87A
0.134	PGP
0.134	ACD
0.134	SCO1
0.134	RHBDD3
0.133	ZYG11B
0.133	TARS2
0.133	SRBD1
0.133	ZRANB3
0.133	WDR70
0.133	FER
0.133	ZMIZ2
0.133	SAP25
0.133	PRKRIP1
0.133	UBE3C
0.133	BRWD3
0.133	FAM160B2
0.133	MICU1
0.133	ECD
0.133	KAT6B
0.133	PDE1B
0.133	ARGLU1
0.133	TOGARAM1
0.133	MKL2
0.133	PHLPP2
0.133	UBTF
0.133	INTS2
0.133	SLC38A10
0.132	RBBP4
0.132	S100PBP
0.132	CTTNBP2NL
0.132	ATAD2B
0.132	CCDC93
0.132	EMC3
0.132	DMXL1
0.132	GM2A
0.132	INTS1
0.132	TRIM56
0.132	AKAP17A
0.132	ARMCX4
0.132	ARMCX5
0.132	SMARCA2
0.132	DDB1
0.132	RXYLT1
0.132	LRP10
0.132	AL132780.2
0.132	EDC3
0.132	SEC11A
0.132	NFATC2IP
0.132	KCTD13
0.132	CHD9
0.132	STAU1
0.132	PI4KA
0.132	AP1B1
0.131	ZBTB40
0.131	SZT2
0.131	MR1
0.131	WDPCP
0.131	DHX36
0.131	POLN
0.131	SMARCAD1
0.131	GSTCD
0.131	CREB3L2
0.131	IL18BP
0.131	UPF2
0.131	TIMM23
0.131	TIMM23B
0.131	GTF2A1
0.131	UBR7
0.131	MYO5A
0.131	HEXA
0.131	UBL7-AS1
0.131	YWHAE
0.131	NOL11
0.13	COP1
0.13	RTN4
0.13	KDM3A
0.13	ZNF721
0.13	TENT2
0.13	ATXN1
0.13	MCM3
0.13	CUX1
0.13	RBM28
0.13	SLC9A6
0.13	CYC1
0.13	CCDC171
0.13	FKTN
0.13	RIC3
0.13	FRA10AC1
0.13	WNK1
0.13	DYNLL1
0.13	MNAT1
0.13	TTBK2
0.13	SLFN11
0.13	MYO19
0.13	RECQL5
0.13	HGS
0.13	ICAM1
0.13	ILF3
0.129	AGO1
0.129	GSK3B
0.129	CHCHD6
0.129	FXR1
0.129	TSPAN17
0.129	MED23
0.129	VPS41
0.129	DNAJC2
0.129	UVRAG
0.129	ACSL5
0.129	NUP37
0.129	PWAR6
0.129	DTWD1
0.129	PDPR
0.129	CDT1
0.129	RNF213
0.128	RER1
0.128	EXTL2
0.128	SRGAP2B
0.128	RCOR3
0.128	CNIH4
0.128	INO80D
0.128	DCTN4
0.128	MSH5
0.128	GPRASP1
0.128	TMEM41B
0.128	EIF4G2
0.128	AGAP6
0.128	KIF1BP
0.128	MBD6
0.128	TMEM260
0.128	GALC
0.128	CHD3
0.128	TTC19
0.128	CENPX
0.128	CSE1L
0.128	ZNF724
0.127	BSDC1
0.127	HSD17B7
0.127	POC1A
0.127	SERPINI1
0.127	RFC1
0.127	SMARCA5-AS1
0.127	TRAPPC11
0.127	LARP1
0.127	CDKAL1
0.127	EHMT2
0.127	RNF216
0.127	KRIT1
0.127	LRCH4
0.127	COG5
0.127	WRN
0.127	TERF1
0.127	ACCS
0.127	C11orf49
0.127	ATE1
0.127	UBE3B
0.127	ARID3B
0.127	ERCC4
0.127	TOP3A
0.127	APPBP2
0.127	TLK2
0.127	MYBL2
0.127	YIF1B
0.127	AP2A1
0.127	LINC01684
0.127	ZBTB21
0.126	SPEN
0.126	RNF115
0.126	LINC00467
0.126	SCN9A
0.126	CFAP44
0.126	PKD2
0.126	H2AFY
0.126	SLC39A7
0.126	NUDT3
0.126	NUPL2
0.126	YWHAG
0.126	UNC13B
0.126	ARFGAP2
0.126	PARP4
0.126	ACTR10
0.126	EARS2
0.126	SGSH
0.126	POLI
0.126	ERGIC3
0.126	TCF3
0.126	TRMU
0.125	LRRC47
0.125	TXLNA
0.125	HNRNPU
0.125	DDX1
0.125	COMMD1
0.125	EIF5B
0.125	HACD2
0.125	PIK3CB
0.125	CEP135
0.125	ALPK1
0.125	ZFR
0.125	GPBP1
0.125	POLA1
0.125	TIMM17B
0.125	CSPP1
0.125	ELP4
0.125	ACP2
0.125	INTS4
0.125	PPIF
0.125	CERS5
0.125	CAND1
0.125	ANAPC5
0.125	ULK1
0.125	BLM
0.125	METTL22
0.125	ERI2
0.125	MVD
0.125	P2RX1
0.125	PLEKHM1
0.125	SPATA20
0.125	DYNLL2
0.125	ANKRD12
0.125	ESCO1
0.125	ILVBL
0.124	SLC4A1AP
0.124	CYP1B1
0.124	DHX57
0.124	AGFG1
0.124	MRPS22
0.124	MAD2L1
0.124	USP38
0.124	ARFIP1
0.124	ZFYVE16
0.124	FBXO38
0.124	GIGYF1
0.124	GDAP1
0.124	SLC25A32
0.124	TOP1MT
0.124	DCAF10
0.124	RABGAP1
0.124	CEP57
0.124	ARHGAP21
0.124	SPPL3
0.124	HIP1R
0.124	NUMB
0.124	ABHD2
0.124	RRN3
0.124	NBR1
0.124	RPS6KB1
0.124	TRMT6
0.124	GGT7
0.124	TXNRD2
0.123	HDAC1
0.123	ATF6
0.123	C1orf112
0.123	ARID4B
0.123	NDUFA10
0.123	TBC1D5
0.123	BBX
0.123	MED28
0.123	USO1
0.123	PBX2
0.123	GARS
0.123	YIPF6
0.123	AGPAT5
0.123	UBAP2
0.123	NAA35
0.123	PCNX3
0.123	MAPK8
0.123	LIMA1
0.123	UTP14C
0.123	MAP4K5
0.123	ATG14
0.123	CARMIL2
0.123	METTL16
0.123	SOCS7
0.123	TEX2
0.123	MAVS
0.123	PEX26
0.123	NUP50
0.122	CREG1
0.122	CUL3
0.122	USP4
0.122	TMEM165
0.122	ABCE1
0.122	MFAP3
0.122	PRRC2A
0.122	ZFAND3
0.122	CDK9
0.122	TTF1
0.122	METTL15
0.122	PPME1
0.122	PDCD11
0.122	ITGA5
0.122	POC1B
0.122	ELK3
0.122	GPATCH8
0.121	CHD5
0.121	CLSTN1
0.121	ST3GAL3
0.121	AL390728.5
0.121	CLHC1
0.121	FARSB
0.121	SETD5
0.121	TMEM41A
0.121	SENP5
0.121	PLK4
0.121	TMEM173
0.121	IGF2BP3
0.121	LINC00265
0.121	CCT6A
0.121	RHBDD2
0.121	SORBS3
0.121	CBWD3
0.121	PRRC2B
0.121	STIM1
0.121	PSMC6
0.121	IREB2
0.121	IQCK
0.121	MON1B
0.121	CEP95
0.121	PIGU
0.121	DDX27
0.121	AKAP8L
0.121	SLC5A5
0.121	TCF20
0.121	URB1
0.12	DBT
0.12	CRTC2
0.12	TROVE2
0.12	MCCC1
0.12	LMLN
0.12	SEC24D
0.12	LPCAT1
0.12	YIPF3
0.12	EPB41L2
0.12	PURB
0.12	CASD1
0.12	AC145124.1
0.12	TOPORS
0.12	UBQLN1
0.12	NCBP1
0.12	RUFY2
0.12	CFAP70
0.12	BTRC
0.12	GIT2
0.12	SIN3A
0.12	GNPTG
0.12	CLCN7
0.12	TRAP1
0.12	PARN
0.12	EDC4
0.12	ATP2A3
0.12	P4HB
0.12	FOXK2
0.12	SLC23A2
0.12	LONP1
0.12	WDR62
0.12	ISOC2
0.119	PIK3CD-AS2
0.119	ADPRHL2
0.119	LRP8
0.119	KCTD3
0.119	PNPT1
0.119	SMPD4
0.119	SPAG16
0.119	LIMD1
0.119	RUFY3
0.119	DHX29
0.119	POLK
0.119	HLA-DPA1
0.119	FIGNL1
0.119	ERV3-1
0.119	ATP6AP2
0.119	SLC39A14
0.119	RFX3
0.119	NOL8
0.119	ECPAS
0.119	SLC31A1
0.119	CKAP5
0.119	FBH1
0.119	RPP30
0.119	IDE
0.119	LEMD3
0.119	JKAMP
0.119	SNAPC1
0.119	MED6
0.119	KNL1
0.119	IQGAP1
0.119	MAN2A2
0.119	ZC3H7A
0.119	NPIPA1
0.119	KIAA0753
0.119	TMC6
0.119	WDR45B
0.119	RPRD1B
0.119	OSBPL2
0.119	TIMM44
0.119	HNRNPM
0.119	ZNF253
0.119	RBM42
0.119	ZNF460
