cor	gene	rank
0.23	MTHFD2	120
0.23	GRPEL1	121
0.23	PRELID1	122
0.23	CYP51A1	123
0.23	RUVBL2	124
0.229	MCM10	125
0.229	NARS	126
0.229	GPX4	127
0.228	DNAJB11	128
0.227	SEC13	129
0.227	CENPW	130
0.227	POLR2L	131
0.227	NDUFS3	132
0.227	GINS2	133
0.227	ATAD5	134
0.227	NME1	135
0.226	MRPL11	136
0.226	CDT1	137
0.226	NAA38	138
0.226	TIMM13	139
0.225	EIF3I	140
0.225	TFAM	141
0.224	ENO1	142
0.224	IARS2	143
0.224	TARS	144
0.224	MRPS2	145
0.223	LARS	146
0.223	CYCS	147
0.223	PSMC3	148
0.223	STIP1	149
0.223	SLC7A5	150
0.223	NDUFAF8	151
0.223	MRPS26	152
0.223	DNMT1	153
0.223	LSM4	154
0.222	SF3B4	155
0.222	TUBA1B	156
0.222	MYDGF	157
0.221	TXNDC17	158
0.22	PHGDH	159
0.22	NDUFV1	160
0.22	HSP90B1	161
0.22	METTL26	162
0.22	TMEM97	163
0.22	HNRNPM	164
0.22	C19orf48	165
0.219	PPM1L	166
0.219	UQCC2	167
0.219	NUDT1	168
0.219	TOMM5	169
0.219	MTCH2	170
0.219	BANF1	171
0.219	TIMM23	172
0.219	SNRPA1	173
0.219	EIF2S2	174
0.219	SLC1A5	175
0.218	CCDC86	176
0.218	SNRPF	177
0.218	TXNL4A	178
0.218	YIF1B	179
0.218	CCT8	180
0.217	ZNF593	181
0.217	CLSPN	182
0.217	DTL	183
0.217	DDX56	184
0.217	FAH	185
0.217	LRRC59	186
0.216	UQCRC1	187
0.216	EIF5A	188
0.216	NOP56	189
0.216	LIG1	190
0.216	CDC45	191
0.216	MIF	192
0.215	TCERG1	193
0.215	BCCIP	194
0.214	NOP16	195
0.214	RAD23A	196
0.214	ATP5PF	197
0.213	PTPN7	198
0.213	PPA1	199
0.213	GTF2H3	200
0.213	EMC6	201
0.213	PSMB6	202
0.213	MRPS23	203
0.213	ADRM1	204
0.213	BCL2L12	205
0.212	SPTBN1	206
0.212	EIF4G1	207
0.212	CHCHD2	208
0.212	EEF1G	209
0.212	UHRF1	210
0.212	TMEM147	211
0.212	MT-ATP6	212
0.211	ICMT	213
0.211	NASP	214
0.211	PFDN2	215
0.211	FARSB	216
0.211	H2AFZ	217
0.211	FASN	218
0.21	ATP1A1	219
0.21	MSH6	220
0.21	HSPA9	221
0.21	FABP5	222
0.21	ATP5F1B	223
0.21	RPS17	224
0.21	NDUFA6	225
0.209	WDR12	226
0.209	POP7	227
0.209	PPP1R14B	228
0.209	FAM207A	229
0.208	SSBP1	230
0.207	HSPA5	231
0.207	CDK4	232
0.207	KRT10	233
0.207	PTRH2	234
0.207	ALYREF	235
0.206	OLA1	236
0.206	SNRPC	237
0.206	RPL10A	238
0.206	SNHG15	239
0.206	UNG	240
0.205	ADPRHL2	241
0.205	DHX30	242
0.205	EIF1AX	243
0.205	RPS6	244
0.205	NOC3L	245
0.205	TOMM22	246
0.204	CKS1B	247
0.204	SPR	248
0.204	MCM6	249
0.204	LSM3	250
0.204	PSMA3	251
0.204	YWHAE	252
0.203	ACAT2	253
0.203	TRMT112	254
0.203	GLRX3	255
0.203	MRPL45	256
0.203	FARSA	257
0.203	EIF3D	258
0.202	PRDX1	259
0.202	FDPS	260
0.202	SEC11C	261
0.202	MRPS12	262
0.201	SERBP1	263
0.201	DAP3	264
0.2	RBM8A	265
0.2	PPAT	266
0.2	H2AFY	267
0.2	MRPL22	268
0.2	TPI1	269
0.2	PHB2	270
0.2	TYMS	271
0.2	UQCRFS1	272
0.2	DRG1	273
0.199	PNO1	274
0.199	EIF2S1	275
0.199	ACO2	276
0.198	ERI3	277
0.198	MAD2L1	278
0.198	GINS4	279
0.198	PSMD3	280
0.197	POLQ	281
0.197	ARPC5L	282
0.197	PGAM1	283
0.197	MRPL52	284
0.197	NUBP2	285
0.197	GART	286
0.196	ATP5MC3	287
0.196	SYNCRIP	288
0.196	NPM3	289
0.196	USP14	290
0.196	CRELD2	291
0.195	UTP11	292
0.195	VDAC2	293
0.195	LARP4	294
0.195	NXT1	295
0.195	MBOAT7	296
0.194	PABPC4	297
0.194	CTPS1	298
0.194	SSB	299
0.194	NAP1L1	300
0.194	PGP	301
0.194	AARS	302
0.194	SLC35B1	303
0.194	SNRPB	304
0.193	SRRT	305
0.193	SSRP1	306
0.192	ODC1	307
0.192	XRCC5	308
0.192	GGH	309
0.192	NUFIP1	310
0.192	MRPS7	311
0.192	DDX39A	312
0.191	CHEK1	313
0.191	PSMB5	314
0.191	PSMC4	315
0.191	IL4I1	316
0.191	U2AF2	317
0.19	RER1	318
0.19	RRP9	319
0.19	NOL7	320
0.19	ZNHIT2	321
0.19	PAM16	322
0.19	PYCR1	323
0.189	IFRD2	324
0.189	HSD17B10	325
0.189	AFG3L2	326
0.189	MTFP1	327
0.188	PGD	328
0.188	ATP13A2	329
0.188	LRPPRC	330
0.188	FAM136A	331
0.188	DTYMK	332
0.188	NOP14	333
0.188	EIF3B	334
0.188	CHID1	335
0.188	CDCA5	336
0.188	CCDC124	337
0.188	RPS5	338
0.187	EIF2B3	339
0.187	LRIF1	340
0.187	CNIH4	341
0.187	RPL39L	342
0.187	SRPK1	343
0.187	BYSL	344
0.187	PDAP1	345
0.187	PSMB3	346
0.187	FCGRT	347
0.187	POLD1	348
0.186	CHD5	349
0.186	TIMM17A	350
0.186	ETF1	351
0.186	VARS	352
0.186	CBWD1	353
0.186	MRPS34	354
0.186	GOT2	355
0.186	C20orf27	356
0.186	SLC19A1	357
0.185	DNPEP	358
0.185	FANCD2	359
0.185	PTTG1	360
0.185	MRPS35	361
0.185	TIMELESS	362
0.185	SLC25A3	363
0.184	WDR43	364
0.184	RPN1	365
0.184	MRPL3	366
0.184	EXOSC2	367
0.184	PRPF19	368
0.184	SUPT16H	369
0.184	TP53	370
0.184	ATP5MC1	371
0.184	ERGIC3	372
0.184	PES1	373
0.183	SDHB	374
0.183	CIAO1	375
0.183	RPL26L1	376
0.183	MTHFD1L	377
0.183	NUP188	378
0.183	FAM96B	379
0.183	PDF	380
0.183	COPS3	381
0.183	PSMA7	382
0.183	AP2S1	383
0.182	MRPS15	384
0.182	YRDC	385
0.182	IMP4	386
0.182	TCOF1	387
0.182	BOP1	388
0.182	RECQL4	389
0.182	PSMB7	390
0.182	ACAT1	391
0.182	CCND2	392
0.182	EMC4	393
0.182	ATP5F1A	394
0.182	ROMO1	395
0.181	ADI1	396
0.181	EIF5B	397
0.181	PSMD1	398
0.181	TWISTNB	399
0.181	RBM3	400
0.181	IPO5	401
0.181	PRKCSH	402
0.18	AURKAIP1	403
0.18	ZMPSTE24	404
0.18	ATP5MF	405
0.18	MRPL15	406
0.18	AHSA1	407
0.18	TSR3	408
0.18	DRG2	409
0.18	CDC6	410
0.18	NME2	411
0.18	C19orf24	412
0.18	NDUFS7	413
0.179	BUD31	414
0.179	TMX2	415
0.179	SF3B2	416
0.179	PRDX3	417
0.179	SHMT2	418
0.179	TRIM28	419
0.179	URB1	420
0.178	LRRC47	421
0.178	PPIH	422
0.178	RAD54L	423
0.178	BRIX1	424
0.178	HSPA4	425
0.178	C12orf45	426
0.178	NOC4L	427
0.178	RFC3	428
0.178	MRPL12	429
0.178	AP3D1	430
0.178	UBE2M	431
0.178	MT-ND4	432
0.177	TRAIP	433
0.177	LETM1	434
0.177	LAGE3	435
0.177	ATAD2	436
0.177	UQCC3	437
0.177	MCMBP	438
0.177	GINS1	439
0.177	PSMG1	440
0.176	RPL37A	441
0.176	SMC1A	442
0.176	DHCR7	443
0.176	CLUH	444
0.176	EME1	445
0.176	GPS1	446
0.176	UBA2	447
0.175	AAMP	448
0.175	LSG1	449
0.175	NSUN2	450
0.175	CLTA	451
0.175	ZWINT	452
0.175	ERCC1	453
0.174	DCLRE1B	454
0.174	RPSA	455
0.174	UMPS	456
0.174	FAM126A	457
0.174	SLC52A2	458
0.174	WDR90	459
0.174	ELAVL1	460
0.174	NDUFA13	461
0.174	CLPTM1	462
0.174	XRCC6	463
0.174	MT-ND2	464
0.173	MRPL20	465
0.173	MRPL24	466
0.173	PDIA6	467
0.173	SRPRB	468
0.173	RPF2	469
0.173	DCAF13	470
0.173	SURF2	471
0.173	LDHA	472
0.173	PPRC1	473
0.173	ASF1B	474
0.173	PTOV1	475
0.173	MRPL39	476
0.172	MRPL37	477
0.172	COMMD1	478
0.172	RPL7L1	479
0.172	PSMB1	480
0.172	NDUFB9	481
0.172	TIMM8B	482
0.172	SRSF9	483
0.172	MRPL57	484
0.172	EXOSC5	485
0.171	MRPS25	486
0.171	TUSC2	487
0.171	GMPS	488
0.171	NDUFAF4	489
0.171	HELLS	490
0.171	GAPDH	491
0.171	RAB5IF	492
0.17	YTHDF2	493
0.17	SNRNP40	494
0.17	TYW3	495
0.17	QARS	496
0.17	DCUN1D5	497
0.17	NUP107	498
0.17	NUTF2	499
0.17	CCDC137	500
0.17	ESF1	501
0.17	CHCHD10	502
0.169	SNRPG	503
0.169	TRIP13	504
0.169	DST	505
0.169	POLR2J	506
0.169	MRPL13	507
0.169	SSSCA1	508
0.169	NDUFS8	509
0.169	ABCC4	510
0.169	KARS	511
0.169	PIAS4	512
0.169	POLR2I	513
0.168	CEBPZ	514
0.168	TMA16	515
0.168	ATP5F1C	516
0.168	SRSF1	517
0.168	MRPL38	518
0.168	NELFCD	519
0.168	DUS3L	520
0.168	UQCR10	521
0.168	MT-CO3	522
0.167	RPL15	523
0.167	GFM1	524
0.167	AK6	525
0.167	RPA3	526
0.167	MRPS24	527
0.167	PDSS1	528
0.167	PDIA3	529
0.167	TEDC2	530
0.167	HSBP1	531
0.167	LONP1	532
0.167	PDCD2L	533
0.166	TXNDC9	534
0.166	MRPL2	535
0.166	TMED2	536
0.166	POLE	537
0.166	RPS2	538
0.166	MRPL58	539
0.166	RPL3	540
0.165	NDUFS5	541
0.165	METTL5	542
0.165	NDUFB2	543
0.165	AIFM1	544
0.165	MRPS28	545
0.165	RTN3	546
0.165	MTHFD1	547
0.165	CHRNA5	548
0.165	VPS4A	549
0.165	SPG7	550
0.165	ERAL1	551
0.165	IKZF3	552
0.165	WDR18	553
0.165	CHAF1A	554
0.165	MCAT	555
0.164	C1orf109	556
0.164	MAGOH	557
0.164	HDGF	558
0.164	HEATR1	559
0.164	HMGCR	560
0.164	NANS	561
0.164	PLEKHJ1	562
0.164	KHSRP	563
0.164	PIN1	564
0.164	RRP1	565
0.163	RPL22	566
0.163	PARP1	567
0.163	EHMT2	568
0.163	SRSF3	569
0.163	MDH2	570
0.163	RRS1	571
0.163	TONSL	572
0.163	RABEPK	573
0.163	UROS	574
0.163	EXOSC8	575
0.163	TFDP1	576
0.163	TSR1	577
0.163	UBE2G2	578
0.162	NIFK	579
0.162	CDC25A	580
0.162	RBM28	581
0.162	RRM1	582
0.162	EIF4B	583
0.162	WDHD1	584
0.162	CCDC47	585
0.162	NR2C2AP	586
0.161	UBE2J2	587
0.161	C1orf43	588
0.161	RFT1	589
0.161	CENPU	590
0.161	CANX	591
0.161	COX6C	592
0.161	IMMP1L	593
0.161	ACD	594
0.161	NCLN	595
0.161	COLGALT1	596
0.161	NFKBID	597
0.161	HDHD5	598
0.161	RPS19BP1	599
0.16	SRRM1	600
0.16	NPM1	601
0.16	HBS1L	602
0.16	HPRT1	603
0.16	BMS1	604
0.16	PTGES3	605
0.16	ISOC2	606
0.159	EIF4G3	607
0.159	NDUFB3	608
0.159	UBA5	609
0.159	DDX46	610
0.159	MRPS17	611
0.159	TOR1A	612
0.159	GHITM	613
0.159	TAF15	614
0.159	AHCY	615
0.159	RPL18A	616
0.159	SAE1	617
0.159	NIPSNAP1	618
0.159	POLR3H	619
0.158	EMC1	620
0.158	SF3A3	621
0.158	AKR1A1	622
0.158	RRP15	623
0.158	PSMD6	624
0.158	TTK	625
0.158	SMS	626
0.158	UBA1	627
0.158	RBM14	628
0.158	ARCN1	629
0.158	TESC	630
0.158	CISD3	631
0.158	AMZ2	632
0.158	NDUFB7	633
0.157	DDOST	634
0.157	DHX9	635
0.157	ANKRD36C	636
0.157	RPL22L1	637
0.157	PLRG1	638
0.157	MRPS18B	639
0.157	C8orf33	640
0.157	NDUFB6	641
0.157	CBWD5	642
0.157	MRPL21	643
0.157	NCAPD3	644
0.157	SUPV3L1	645
0.157	STRAP	646
0.157	HACD3	647
0.157	SLFN11	648
0.157	DPM1	649
0.157	LSM7	650
0.157	PPAN	651
0.157	CDC37	652
0.156	EBNA1BP2	653
0.156	SCAMP3	654
0.156	OSTC	655
0.156	CENPP	656
0.156	PPFIA1	657
0.156	RBM17	658
0.156	NUP58	659
0.155	DDX1	660
0.155	GTF3C3	661
0.155	MRPL14	662
0.155	MRPL32	663
0.155	PMPCA	664
0.155	ADM	665
0.155	SELENOH	666
0.155	ZPR1	667
0.155	FOXRED1	668
0.155	RPLP0	669
0.155	SIVA1	670
0.155	PDCD7	671
0.155	SLC39A3	672
0.155	ADSL	673
0.155	MT-ND5	674
0.154	DHCR24	675
0.154	MRPL9	676
0.154	MSMO1	677
0.154	TMED9	678
0.154	MYB	679
0.154	MRPL18	680
0.154	YIF1A	681
0.154	DUT	682
0.154	POLDIP2	683
0.154	IDH3B	684
0.153	SRSF10	685
0.153	DNAJC8	686
0.153	ACBD6	687
0.153	EIPR1	688
0.153	NSD2	689
0.153	HNRNPD	690
0.153	IDH3A	691
0.153	ELOB	692
0.153	EMC8	693
0.153	DHRS7B	694
0.153	ILF3	695
0.153	PSMD8	696
0.153	ST13	697
0.152	MECR	698
0.152	SGO1	699
0.152	PUF60	700
0.152	SURF6	701
0.152	BX255925.3	702
0.152	DPP3	703
0.152	SRPRA	704
0.152	PSMA6	705
0.152	RSL24D1	706
0.152	KNOP1	707
0.152	RAE1	708
0.152	AP1B1	709
0.151	RPL5	710
0.151	LINC01366	711
0.151	PRPF4	712
0.151	DPP7	713
0.151	DLAT	714
0.151	C12orf43	715
0.151	TFAP4	716
0.151	PSMD7	717
0.151	DERL2	718
0.151	SEH1L	719
0.151	PCNA	720
0.151	PARVB	721
0.15	ATAD3B	722
0.15	ANAPC1	723
0.15	COPS9	724
0.15	NT5DC2	725
0.15	IPO11	726
0.15	PFDN6	727
0.15	RPS10	728
0.15	GTF3C6	729
0.15	CDK1	730
0.15	BRI3BP	731
0.15	GLRX5	732
0.15	PKMYT1	733
0.15	MPDU1	734
0.15	KIAA0100	735
0.15	RPL23	736
0.15	CLTC	737
0.15	CD320	738
0.15	RBM42	739
0.149	RPIA	740
0.149	THOC7	741
0.149	SSR3	742
0.149	CWC27	743
0.149	NLN	744
0.149	FIGNL1	745
0.149	XRCC2	746
0.149	RPL7	747
0.149	MTDH	748
0.149	DDB1	749
0.149	PFKP	750
0.149	RPL21	751
0.149	SLC7A1	752
0.149	EIF3J	753
0.149	SNRNP25	754
0.149	UQCRC2	755
0.149	NFKBIB	756
0.148	ACP1	757
0.148	ANKRD36	758
0.148	CIP2A	759
0.148	ZGRF1	760
0.148	CHCHD3	761
0.148	TSR2	762
0.148	ARMCX6	763
0.148	RRP12	764
0.148	CCDC59	765
0.148	UTP20	766
0.148	DDX51	767
0.148	DNAJC15	768
0.148	DNAJC3-DT	769
0.148	PRPF8	770
0.148	RPL27	771
0.148	DUS1L	772
0.148	CYB5A	773
0.148	PSMF1	774
0.147	PEA15	775
0.147	RFC4	776
0.147	VCP	777
0.147	EXOSC3	778
0.147	WDR5	779
0.147	CWC15	780
0.147	PEBP1	781
0.147	HMGB1	782
0.147	LRR1	783
0.147	EFCAB11	784
0.147	TMED3	785
0.147	SELENOS	786
0.147	MYBBP1A	787
0.147	QTRT1	788
0.147	SNRNP70	789
0.147	NCAPH2	790
0.146	RNASEH1	791
0.146	EMC3	792
0.146	ATP5ME	793
0.146	HDDC2	794
0.146	BAZ1B	795
0.146	PINX1.1	796
0.146	MRPL23	797
0.146	PDCD11	798
0.146	CLEC7A	799
0.146	CDK2AP1	800
0.146	USP10	801
0.146	FEM1A	802
0.146	ATF4	803
0.146	MT-ND1	804
0.145	SF3B6	805
0.145	NFE2L2	806
0.145	PLK4	807
0.145	CDKN2AIPNL	808
0.145	PPIA	809
0.145	SLC38A5	810
0.145	COX7B	811
0.145	MANSC1	812
0.145	PGAM5	813
0.145	ANKLE2	814
0.145	ANP32A	815
0.145	NDUFB10	816
0.145	TMEM11	817
0.145	KAT2A	818
0.145	PSMD12	819
0.144	STMN1	820
0.144	C1orf112	821
0.144	CCDC58	822
0.144	AC113414.1	823
0.144	NSUN5	824
0.144	GRINA	825
0.144	NOL8	826
0.144	IPO7	827
0.144	CAPRIN1	828
0.144	TELO2	829
0.144	CCDC43	830
0.144	OGFOD3	831
0.144	RRP7A	832
0.144	ADARB1	833
0.143	NDC1	834
0.143	MSTO1	835
0.143	ZC3H15	836
0.143	GEMIN5	837
0.143	ABHD11	838
0.143	RFC2	839
0.143	HSPB1	840
0.143	YWHAG	841
0.143	LAS1L	842
0.143	EIF3F	843
0.143	ALG8	844
0.143	TMEM236	845
0.143	TMEM106C	846
0.143	TARBP2	847
0.143	SUDS3	848
0.143	DIAPH3	849
0.143	BOLA2-SMG1P6	850
0.143	CEBPG	851
0.143	PPP6R2	852
0.143	CHAF1B	853
0.143	MT-ND6	854
0.142	COX7A2	855
0.142	NDUFA8	856
0.142	SURF1	857
0.142	MRPS16	858
0.142	PPIF	859
0.142	KRAS	860
0.142	MMAB	861
0.142	STUB1	862
0.142	NOL11	863
0.142	ANAPC11	864
0.142	SNRPD3	865
0.142	WDR4	866
0.141	UBAP2L	867
0.141	SRP9	868
0.141	DBI	869
0.141	BZW1	870
0.141	TMA7	871
0.141	LYRM4	872
0.141	SMC2	873
0.141	PRDX5	874
0.141	PALB2	875
0.141	ALDOA	876
0.141	VPS35	877
0.141	C17orf53	878
0.141	ARHGDIA	879
0.141	RBL1	880
0.141	MYBL2	881
0.141	PFKL	882
0.14	SLC6A9	883
0.14	NAXE	884
0.14	TSEN15	885
0.14	COX5B	886
0.14	ANKRD17	887
0.14	GNPDA1	888
0.14	UBE2A	889
0.14	UBE2V2	890
0.14	DNAJC9	891
0.14	MLF2	892
0.14	AAAS	893
0.14	PTPN11	894
0.14	CHAC1	895
0.14	EEF2KMT	896
0.14	AARSD1	897
0.14	BFSP1	898
0.139	CENPS-CORT	899
0.139	UCHL5	900
0.139	ZC3H8	901
0.139	PRPF40A	902
0.139	NDUFC1	903
0.139	NAA15	904
0.139	HNRNPA0	905
0.139	BUD23	906
0.139	LRWD1	907
0.139	GLE1	908
0.139	MAGOHB	909
0.139	GPN3	910
0.139	SRRM2	911
0.139	CTU2	912
0.139	RPN2	913
0.139	MT-ATP8	914
0.138	DNAJC11	915
0.138	LAMTOR5	916
0.138	UCK2	917
0.138	MRPS5	918
0.138	ARL13B	919
0.138	PARL	920
0.138	ALG3	921
0.138	CCNA2	922
0.138	SPDL1	923
0.138	PSPH	924
0.138	CPSF4	925
0.138	GRHPR	926
0.138	UBAC1	927
0.138	NAT10	928
0.138	SAP18	929
0.138	WBP4	930
0.138	PSMD11	931
0.138	COASY	932
0.138	SNRPB2	933
0.138	YTHDF1	934
0.138	CD70	935
0.138	PCNT	936
0.137	ADAM15	937
0.137	MFSD10	938
0.137	BTNL9	939
0.137	RIOK1	940
0.137	RP9	941
0.137	ERP44	942
0.137	NTMT1	943
0.137	MRPL17	944
0.137	FADS2	945
0.137	TSFM	946
0.137	GTF3A	947
0.137	PSMC1	948
0.137	TRMT61A	949
0.137	ATP5MPL	950
0.137	UTP18	951
0.137	RBBP8	952
0.137	SGTA	953
0.137	TRIP10	954
0.136	AL606468.1	955
0.136	TTC27	956
0.136	PTCD3	957
0.136	CNOT9	958
0.136	RPS3A	959
0.136	LVRN	960
0.136	LMAN2	961
0.136	KDELR2	962
0.136	UTP14A	963
0.136	EXOSC4	964
0.136	OGN	965
0.136	SET	966
0.136	EIF3M	967
0.136	BTG4	968
0.136	SCD	969
0.136	METAP2	970
0.136	POMP	971
0.136	RNF219	972
0.136	AC007950.2	973
0.136	RHOT2	974
0.136	TSC2	975
0.136	ERCC4	976
0.136	MAP2K2	977
0.136	HMGXB4	978
0.135	SASS6	979
0.135	C1orf131	980
0.135	EXOSC7	981
0.135	GRSF1	982
0.135	NUP155	983
0.135	WDR36	984
0.135	HDAC3	985
0.135	BZW2	986
0.135	PTDSS1	987
0.135	RFK	988
0.135	RABGAP1	989
0.135	SBF2	990
0.135	KNTC1	991
0.135	ARL6IP4	992
0.135	SBNO1	993
0.135	ERH	994
0.135	TRAPPC2L	995
0.135	NPLOC4	996
0.135	OXLD1	997
0.135	SLC39A6	998
0.135	EEF2	999
0.135	SAFB2	1000
0.135	SCAF1	1001
0.134	ZFYVE9	1002
0.134	SARS	1003
0.134	CHAC2	1004
0.134	RTN4	1005
0.134	WDR54	1006
0.134	NOP58	1007
0.134	SRP72	1008
0.134	MRPS33	1009
0.134	NUDCD1	1010
0.134	SQLE	1011
0.134	ECHS1	1012
0.134	PFKM	1013
0.134	EBPL	1014
0.134	FKBP3	1015
0.134	VRK1	1016
0.134	BAG5	1017
0.134	MRPL46	1018
0.134	PIGL	1019
0.134	TBC1D16	1020
0.134	P4HB	1021
0.134	DDX49	1022
0.134	GRWD1	1023
0.134	EPN1	1024
0.133	TRAPPC3	1025
0.133	ATP6V0B	1026
0.133	UQCRH	1027
0.133	USP1	1028
0.133	TTF2	1029
0.133	GLRX2	1030
0.133	CENPO	1031
0.133	CCDC88A	1032
0.133	RIF1	1033
0.133	TRMT10C	1034
0.133	SMC4	1035
0.133	MTCH1	1036
0.133	CKS2	1037
0.133	TMEM38B	1038
0.133	ZNF408	1039
0.133	POLA2	1040
0.133	DDX10	1041
0.133	DCPS	1042
0.133	DHX37	1043
0.133	SFSWAP	1044
0.133	CSE1L	1045
0.133	SMARCA4	1046
0.133	HSPBP1	1047
0.132	MINOS1	1048
0.132	ZNF436-AS1	1049
0.132	GPATCH4	1050
0.132	ISG20L2	1051
0.132	NENF	1052
0.132	TOMM20	1053
0.132	XPO1	1054
0.132	AC105402.3	1055
0.132	CHCHD6	1056
0.132	CDV3	1057
0.132	RIOK2	1058
0.132	PPIL1	1059
0.132	TIMM17B	1060
0.132	CCNQ	1061
0.132	POLR2K	1062
0.132	PCGF6	1063
0.132	LLPH	1064
0.132	GEMIN4	1065
0.132	PELP1	1066
0.132	LSM12	1067
0.132	PDRG1	1068
0.132	CC2D1A	1069
0.132	PRPF31	1070
0.132	UFD1	1071
0.132	ZNF280B	1072
0.132	EWSR1	1073
0.132	CFAP298	1074
0.132	ATP5PO	1075
0.131	UROD	1076
0.131	SRSF7	1077
0.131	COX7A2L	1078
0.131	WDR33	1079
0.131	WDR75	1080
0.131	SPCS1	1081
0.131	U2SURP	1082
0.131	EIF2B5	1083
0.131	GAR1	1084
0.131	DHX16	1085
0.131	SLC39A14	1086
0.131	GSTP1	1087
0.131	STT3A	1088
0.131	PRKG1	1089
0.131	METTL1	1090
0.131	FLYWCH2	1091
0.131	AC108134.2	1092
0.131	AC004494.1	1093
0.131	GLYR1	1094
0.131	PMM2	1095
0.131	RBFA	1096
0.131	PRPF6	1097
0.131	LMNB2	1098
0.131	ILVBL	1099
0.131	RPS16	1100
0.131	SLC25A1	1101
0.131	PHF5A	1102
0.13	CERS2	1103
0.13	AGPAT5	1104
0.13	RPL27A	1105
0.13	NUDT8	1106
0.13	DDIAS	1107
0.13	EIF3A	1108
0.13	UBE2N	1109
0.13	ANAPC7	1110
0.13	RNF6	1111
0.13	HNRNPC	1112
0.13	PSMA4	1113
0.13	POLR3K	1114
0.13	FAM210A	1115
0.13	ME2	1116
0.13	HAUS8	1117
0.13	COPE	1118
0.13	PIM3	1119
0.13	MT-CYB	1120
0.129	FOXD3-AS1	1121
0.129	USP39	1122
0.129	SP9	1123
0.129	CCL20	1124
0.129	LRPAP1	1125
0.129	SQSTM1	1126
0.129	TAS2R3	1127
0.129	LYPLA1	1128
0.129	GANAB	1129
0.129	COA4	1130
0.129	XPOT	1131
0.129	PUS1	1132
0.129	SPRYD7	1133
0.129	AL391261.2	1134
0.129	SHCBP1	1135
0.129	MRM1	1136
0.129	EFTUD2	1137
0.129	TM9SF4	1138
0.129	MTG2	1139
0.129	LINC00266-1	1140
0.129	DAZAP1	1141
0.129	ICAM1	1142
0.129	TECR	1143
0.129	MPV17L2	1144
0.128	POLR2H	1145
0.128	MRPS10	1146
0.128	PKD1L1	1147
0.128	ESCO2	1148
0.128	RASSF4	1149
0.128	KMT5A	1150
0.128	PNN	1151
0.128	AC004771.2	1152
0.128	MIS12	1153
0.128	MED1	1154
0.128	GALK1	1155
0.128	DCAF15	1156
0.127	GNL2	1157
0.127	WDR46	1158
0.127	BRAT1	1159
0.127	MALSU1	1160
0.127	SLC25A6	1161
0.127	MYOM2	1162
0.127	NABP2	1163
0.127	CS	1164
0.127	EP400	1165
