cor	gene
0.272	PSMD2
0.272	RPL26L1
0.271	EEF1G
0.271	SEC11C
0.271	TXNL4A
0.269	DST
0.269	ERP44
0.269	RPLP0
0.269	TMED2
0.269	CDC6
0.269	PDCD5
0.269	DERL3
0.268	PGAM1
0.268	DNAJC3
0.267	NDUFS5
0.267	BRCA2
0.267	MRPL4
0.265	BOLA3
0.265	C12orf57
0.265	ELOB
0.264	RPL22
0.264	P4HB
0.264	UQCR10
0.263	CCT4
0.263	RPS4X
0.263	FASN
0.262	ADI1
0.262	RPL10A
0.261	COX7B
0.261	RPL21
0.261	COX4I1
0.261	MVD
0.261	POLR2E
0.26	POLD2
0.26	PRPF19
0.26	RPS19BP1
0.26	MT-ND6
0.258	TIMM17A
0.258	OLA1
0.258	NCL
0.258	ELOVL4
0.258	LSM4
0.257	MRPL36
0.257	SNRPA1
0.257	HM13
0.257	TMEM147
0.256	SRSF7
0.256	PSMB1
0.256	MSRB2
0.256	TFAM
0.256	PSMA3
0.256	PSMF1
0.256	RPS5
0.255	EEF1E1
0.255	EMC6
0.255	BRCA1
0.255	FBL
0.254	ATP5ME
0.254	NDUFC1
0.254	RPS16
0.254	SOD1
0.253	GRPEL1
0.253	HSPA9
0.253	HSPH1
0.253	TRIM28
0.253	PES1
0.253	MT-CO3
0.252	CCT7
0.252	AAMP
0.252	RPA3
0.252	ATP5MF
0.252	PSMC3
0.252	PPP1R14B
0.252	PEBP1
0.251	LSM3
0.251	RPL15
0.251	MRPL21
0.25	PARP1
0.25	SSR4
0.249	HDLBP
0.248	MSH6
0.248	MEA1
0.248	CBWD1
0.248	HSPA8
0.248	RUVBL2
0.248	MCM5
0.246	RPSA
0.246	NOL7
0.246	HSD17B10
0.246	SRPRA
0.246	ATP5F1B
0.245	NASP
0.245	SEM1
0.245	SLC25A5
0.244	DDX1
0.244	TMA7
0.244	DHFR
0.243	BUD31
0.243	YWHAE
0.242	PAICS
0.242	MRPS33
0.242	ALYREF
0.242	TIMM50
0.241	AURKAIP1
0.241	CACYBP
0.241	COX7A2
0.241	PPA1
0.241	AHSA1
0.241	LSM7
0.24	IARS2
0.24	MRPL3
0.24	PHB2
0.24	ACD
0.24	PTOV1
0.239	CENPH
0.239	ATP5MPL
0.238	ERI3
0.238	NIFK
0.238	RPS10
0.238	MRPS23
0.238	CCDC47
0.238	SAFB2
0.238	SELENOW
0.238	MT-ND4L
0.237	KDELR2
0.237	STIP1
0.237	TXNDC17
0.237	ATP5F1A
0.237	TIMM13
0.236	EIF4G3
0.236	PRDX1
0.236	NOP16
0.236	DYNC2H1
0.236	TRAPPC2L
0.235	SRSF3
0.235	SPG7
0.235	RAB5IF
0.234	NDUFA4
0.234	SRRT
0.234	ELOC
0.234	ATP5MD
0.234	NUBP2
0.234	EIF5A
0.234	RPL23
0.233	MRPS18C
0.233	NDUFAF2
0.233	CWC15
0.233	CDT1
0.233	DERL2
0.232	NDUFA8
0.232	EIF3F
0.232	NDUFS8
0.232	KRT10
0.231	RPL7A
0.231	MRPS34
0.231	HSBP1
0.231	NAA38
0.231	LIG1
0.23	FAM136A
0.23	ATIC
0.23	CLPTM1L
0.23	MCM3
0.23	TSR1
0.229	ATP1A1
0.229	SNRPG
0.229	DNAJC10
0.229	NDUFS4
0.229	MRPS2
0.229	TUBB4B
0.229	MT-ND5
0.228	ZMPSTE24
0.228	EIF4G1
0.228	BCAP31
0.228	RPS3
0.227	NDUFB3
0.227	COPS9
0.227	UQCC2
0.227	ALG8
0.226	CMSS1
0.226	SF3B5
0.226	FKBP2
0.226	PRDX5
0.226	TIMM44
0.226	C19orf53
0.226	ATF5
0.225	DDX49
0.224	NDUFB2
0.224	DCTPP1
0.224	MRPS7
0.224	ACO2
0.223	POP7
0.223	MANSC1
0.223	MT-ND2
0.222	FAM162A
0.222	SQLE
0.222	PRPF8
0.221	SDHB
0.221	UTP11
0.221	METTL5
0.221	MDH2
0.221	PTGES3
0.221	GCSH
0.221	RPL27
0.22	SPCS1
0.22	ETF1
0.22	MRPL22
0.22	TMED9
0.22	MLF2
0.22	NME1
0.22	CCDC124
0.22	UQCRFS1
0.22	CLPTM1
0.219	TYW3
0.219	EIF1AX
0.219	EIF4EBP1
0.219	COX6C
0.219	TUBA1B
0.219	SRSF9
0.219	HNRNPM
0.219	RNASEH2A
0.218	MDH1
0.218	MRPL18
0.218	SUGT1
0.218	NELFCD
0.217	NDUFB4
0.217	SRPRB
0.217	BANF1
0.216	RPS7
0.216	WDR54
0.216	IARS
0.216	MCM10
0.216	PSMB5
0.216	PSMA7
0.216	RBM42
0.216	MBOAT7
0.215	DNAJA1
0.215	DDB1
0.215	LMAN1
0.215	PRPF6
0.215	EEF2
0.215	PRKCSH
0.214	RER1
0.214	LRIF1
0.214	MRPL19
0.214	XRCC5
0.214	PSMD6
0.214	SURF1
0.214	POMP
0.214	LONP1
0.214	RPL18A
0.213	MAGOH
0.213	RBM8A
0.213	PRELID1
0.213	SNRPC
0.213	RPL35
0.213	GANAB
0.213	CDK4
0.213	DAD1
0.212	C8orf59
0.212	VDAC2
0.211	EPRS
0.211	SSR1
0.211	UBA1
0.211	MRPS35
0.211	SLC25A3
0.211	SNRPD3
0.211	MT-ATP8
0.21	POLQ
0.21	MSMO1
0.21	MTCH1
0.21	HDDC2
0.21	TONSL
0.21	MRPL17
0.21	NDUFS3
0.21	SF3B2
0.21	CCDC59
0.209	WDR12
0.209	UQCRC1
0.209	RPL22L1
0.209	NANS
0.209	MRPL57
0.209	CNIH1
0.209	PSMB6
0.209	DPP9
0.208	SF3B6
0.208	EIF4B
0.208	AC108134.2
0.208	RBBP6
0.208	MRPL58
0.208	NDUFA6
0.207	DHX30
0.207	PCDH1
0.207	POLE3
0.207	MARS
0.207	EIF2S1
0.207	SNRPD1
0.207	EIF3K
0.207	MT-CO2
0.206	MSTO1
0.206	HSPA4
0.206	TOMM5
0.206	NDUFV1
0.206	FUS
0.206	GOT2
0.206	RPL38
0.206	NSFL1C
0.206	TMEM50B
0.205	OCIAD1
0.205	DDX21
0.205	TPI1
0.205	OS9
0.205	DENR
0.205	EMC4
0.205	MPV17L2
0.204	ZNF593
0.204	PABPC4
0.204	MRPS24
0.204	SLC25A6
0.204	ARPC5L
0.204	CYFIP1
0.204	RSL1D1
0.204	PTRH2
0.204	WDR18
0.204	XRCC6
0.203	HMGCR
0.203	ABHD11
0.203	NDUFB11
0.203	MMAB
0.203	CDK2AP1
0.203	TXN2
0.202	LTV1
0.202	MTCH2
0.202	UROS
0.202	NDUFAF8
0.202	ESF1
0.202	SNRPB2
0.201	FANCD2
0.201	NUS1
0.201	EIF3B
0.201	STT3A
0.201	TIMM23
0.201	NOLC1
0.201	GLRX3
0.201	PCBP2
0.201	COQ6
0.201	METTL26
0.201	GINS2
0.201	ADRM1
0.2	CHCHD6
0.2	RPS26
0.2	ERH
0.2	MRPS26
0.2	DTD1
0.2	AHCY
0.2	THOP1
0.199	ACBD6
0.199	H2AFZ
0.199	EIF4G2
0.199	SERPINH1
0.199	ECHS1
0.199	GAPDH
0.199	TP53
0.199	PSMB3
0.199	CLTC
0.199	UQCR11
0.198	MRPS15
0.198	MRPL14
0.198	SLC52A2
0.198	SSRP1
0.198	ATP5F1C
0.198	TMEM208
0.198	SLC25A39
0.198	KPNB1
0.198	EIF2S2
0.197	ATP5PB
0.197	MRPL24
0.197	RPL39L
0.197	SKP1
0.197	CENPW
0.197	MRPL13
0.197	NPM3
0.197	AAAS
0.197	RCN2
0.197	UBFD1
0.197	MRPL40
0.196	LRRC47
0.196	PLPP3
0.196	H2AFY
0.196	MRPL2
0.196	RPL8
0.196	CHID1
0.196	RPL27A
0.196	SELENOH
0.196	DHCR7
0.196	CHORDC1
0.196	GHITM
0.196	TWF1
0.196	GTF2H3
0.196	IFT43
0.196	POLR3H
0.195	SEC61A1
0.195	FASTK
0.195	NUP107
0.195	CDC42BPB
0.195	ALKBH7
0.195	NDUFA13
0.195	PSMC4
0.195	U2AF2
0.194	EBNA1BP2
0.194	ARF4
0.194	ALG3
0.194	NDUFB6
0.194	PHF21A
0.194	SLC3A2
0.194	PRMT5
0.194	AP3D1
0.194	NDUFB7
0.194	EPN1
0.193	UQCRH
0.193	NDUFA10
0.193	BUD23
0.193	DNMT1
0.193	MT-CYB
0.192	FOXD3-AS1
0.192	COX7C
0.192	RARS
0.192	POLR2J
0.192	HMGN5
0.192	VCP
0.191	SF3B4
0.191	GARS
0.191	TMEM97
0.191	SNRPB
0.191	SMIM26
0.19	PRKCZ
0.19	MRPL47
0.19	SYNCRIP
0.19	PNPLA4
0.19	ATXN2
0.19	EIF3J
0.19	GTF3C1
0.19	CHAF1A
0.19	PSMD8
0.189	SFPQ
0.189	SGO1
0.189	MRPS22
0.189	ACAT2
0.189	AGPAT5
0.189	MCM4
0.189	MTDH
0.189	SEC61B
0.189	FEN1
0.189	MVK
0.189	FAM96B
0.189	CDK5RAP3
0.189	C19orf48
0.188	CMC1
0.188	THOC7
0.188	FAF2
0.188	RPS18
0.188	SEC61G
0.188	PUM3
0.188	PMPCA
0.188	TMX2
0.188	IER3IP1
0.187	ATP13A2
0.187	YTHDF2
0.187	HDAC2
0.187	SND1
0.187	NSDHL
0.187	DCUN1D5
0.187	SNRPD2
0.187	NIPSNAP1
0.186	SEC63
0.186	MALSU1
0.186	DDX56
0.186	TIMM17B
0.186	DCAF13
0.186	CLTA
0.186	GRHPR
0.186	STRAP
0.186	TSR3
0.186	PGP
0.186	RPN2
0.185	ADPRHL2
0.185	PPIH
0.185	NDUFS1
0.185	MRPL1
0.185	CDC23
0.185	PPIL4
0.185	ARMCX3
0.185	MRPL23
0.185	RPS6KB2
0.185	BMS1
0.185	RXYLT1
0.185	ME2
0.185	QTRT1
0.185	FARSA
0.184	HNRNPD
0.184	LARS
0.184	INTS1
0.184	RPL36A
0.184	CKS2
0.184	GTPBP4
0.184	TSFM
0.184	C15orf40
0.183	NOC2L
0.183	EMC1
0.183	GRSF1
0.183	GAR1
0.183	MRPS18B
0.183	TARBP2
0.183	RPL6
0.183	GPS1
0.183	EIF3G
0.183	AP2S1
0.183	RPL18
0.182	LZIC
0.182	MPC2
0.182	PHAX
0.182	LDHA
0.182	COX8A
0.182	IPO5
0.182	LRR1
0.182	SRSF1
0.182	NCLN
0.182	MRPL39
0.181	CNIH4
0.181	DMAC1
0.181	PAAF1
0.181	BCCIP
0.181	PSMD12
0.181	NOP56
0.18	PARK7
0.18	MRPL37
0.18	EEF1A1
0.18	POLR2J3.1
0.18	GRINA
0.18	TFDP1
0.18	BSG
0.18	MRPS12
0.179	MRPL20
0.179	PPIA
0.179	YIF1A
0.179	SAP18
0.179	RTRAF
0.179	UBE3A
0.179	EARS2
0.178	CKS1B
0.178	RNF181
0.178	CISD2
0.178	ABCE1
0.178	MRPS10
0.178	R3HCC1
0.178	MRPL15
0.178	MRPS28
0.178	NRXN2
0.178	DYNC1H1
0.178	STUB1
0.178	TEDC2
0.178	ERCC1
0.177	ATAD3A
0.177	EIF2B3
0.177	PTPN7
0.177	TOMM20
0.177	WDR43
0.177	U2SURP
0.177	MAD2L1
0.177	PIN4
0.177	ENY2
0.177	MRPL45
0.177	RPL17
0.177	CYB5A
0.177	DPM1
0.177	COPE
0.177	SNRNP70
0.177	CDC45
0.176	SF3A3
0.176	DHCR24
0.176	MCM2
0.176	RPL35A
0.176	TRUB2
0.176	NDUFA9
0.176	COX16
0.176	SRRM2
0.176	SLFN11
0.176	CSE1L
0.176	RPS9
0.176	MRPS6
0.176	MT-ND1
0.175	PSMA5
0.175	ACBD3
0.175	DDX18
0.175	TRIP13
0.175	BTNL9
0.175	TMED3
0.175	MUM1
0.174	C1orf43
0.174	MCFD2
0.174	TMA16
0.174	MRPS17
0.174	NBDY
0.174	RECQL4
0.174	TM9SF3
0.174	MRPL43
0.174	NUP37
0.174	RPL13
0.174	C20orf27
0.173	PFDN2
0.173	RNASEH1
0.173	PNO1
0.173	CRELD1
0.173	SMARCC1
0.173	LRPAP1
0.173	ZNHIT1
0.173	RBM3
0.173	FDFT1
0.173	ADM
0.173	RTN3
0.173	RPS21
0.172	MRPL9
0.172	AK6
0.172	MAGT1
0.172	C8orf33
0.172	FICD
0.172	SIVA1
0.172	RSL24D1
0.172	DNAJA3
0.171	TPRKB
0.171	RPL14
0.171	HNRNPA0
0.171	ASMTL
0.171	PYM1
0.171	CHTF18
0.171	AARS
0.171	E2F1
0.171	RAE1
0.17	UBE2J2
0.17	RRP15
0.17	LRPPRC
0.17	RIF1
0.17	GNPDA1
0.17	UQCC3
0.17	SYVN1
0.17	NAP1L1
0.17	NDUFV2
0.17	SLC25A1
0.169	GTF3C3
0.169	FARSB
0.169	RPL32
0.169	GMNN
0.169	CNPY3
0.169	PDAP1
0.169	DIAPH3
0.169	HACD3
0.169	NAE1
0.169	DHRS7B
0.169	MYBL2
0.169	UBE2M
0.168	TUSC2
0.168	DHX29
0.168	TBCA
0.168	TUBB
0.168	PFDN6
0.168	SNX9
0.168	MAP7D3
0.168	LAGE3
0.168	SET
0.168	ACAT1
0.168	CHEK1
0.168	UQCRC2
0.168	SHCBP1
0.168	PYCR1
0.168	IDH3B
0.168	RRBP1
0.168	PKN1
0.167	PSMB4
0.167	ACP1
0.167	SPTBN1
0.167	TSN
0.167	RSRC1
0.167	TTC1
0.167	NDUFA5
0.167	UBXN8
0.167	ALG2
0.167	PARPBP
0.167	EBPL
0.167	EIF5
0.167	BRD7
0.167	AFG3L2
0.166	SRSF10
0.166	BTF3L4
0.166	CHCHD4
0.166	RPL29
0.166	HMGCS1
0.166	RPS23
0.166	TSSC4
0.166	C11orf58
0.166	ANAPC16
0.166	TM9SF2
0.166	PNN
0.166	PAM16
0.166	EMC8
0.165	DNAJC8
0.165	COMMD1
0.165	ATG3
0.165	F12
0.165	EHMT2
0.165	PINX1.1
0.165	TXN
0.165	GABPB1-AS1
0.165	KNOP1
0.165	PSMD7
0.165	CLUH
0.165	EIF4A1
0.164	ZBTB8OS
0.164	FYTTD1
0.164	PTTG1
0.164	PLOD3
0.164	PMPCB
0.164	SURF6
0.164	LDHB
0.164	GPN3
0.164	PKMYT1
0.164	DNAJA2
0.164	ELAVL1
0.164	ZNF530
0.164	TTC3
0.163	UCHL5
0.163	CCDC58
0.163	ANKRD17
0.163	RFC3
0.163	ERCC4
0.163	ICAM2
0.163	MAP2K2
0.163	WDR83OS
0.163	DNAJB1
0.163	KDELR1
0.163	GRWD1
0.162	PGD
0.162	EXOSC7
0.162	RFT1
0.162	BRD9
0.162	GM2A
0.162	COPS5
0.162	SMU1
0.162	GSTP1
0.162	POLDIP2
0.162	ANAPC11
0.162	TXNL1
0.162	SGTA
0.162	KHSRP
0.162	SCAF1
0.162	GART
0.161	HDAC1
0.161	DTYMK
0.161	EIF2A
0.161	VARS
0.161	MRPL32
0.161	PGRMC1
0.161	SSSCA1
0.161	AASDHPPT
0.161	CCDC137
0.161	CDK5RAP1
0.161	PARVB
0.16	MECR
0.16	RBBP4
0.16	UBAP2L
0.16	ERO1B
0.16	MRFAP1
0.16	HNRNPH1
0.16	POLR1C
0.16	WASF1
0.16	RPS20
0.16	WDR74
0.16	HNRNPH3
0.16	BNIP3
0.16	NGDN
0.16	WDR61
0.16	NOL11
0.159	RPL11
0.159	SELENON
0.159	TMEM183A
0.159	RAB1A
0.159	ZKSCAN1
0.159	METAP2
0.159	ABCC4
0.159	UBALD1
0.159	IGF2BP1
0.159	CDC37
0.159	BID
0.159	RRP1
0.158	HSPB11
0.158	MCM6
0.158	PNKD
0.158	COPB2
0.158	SMARCA5
0.158	BRIX1
0.158	CTNNA1
0.158	PSMG3
0.158	DKC1
0.158	TATDN1
0.158	NAT10
0.158	TUBA1C
0.158	FKBP3
0.158	PEMT
0.158	SMARCA4
0.157	SRRM1
0.157	CEBPZ
0.157	EIF5B
0.157	PSMD1
0.157	SELENOK
0.157	PDHA1
0.157	TSR2
0.157	GDF6
0.157	EIF3H
0.157	EXOSC4
0.157	HMGB1
0.157	CINP
0.157	ERAL1
0.157	MRPL12
0.157	SLC39A6
0.157	CNDP2
0.157	DDX27
0.157	SAFB
0.157	AP1B1
0.157	IFT27
0.156	S100A2
0.156	CALM2
0.156	CCDC6
0.156	MGMT
0.156	LARP4
0.156	PGAM5
0.156	HDDC3
0.156	BOLA2-SMG1P6
0.155	SNRNP40
0.155	LAMTOR5
0.155	NDUFB5
0.155	C4orf48
0.155	RPP40
0.155	PABPC1
0.155	NUP214
0.155	ZMYND19
0.155	KLC2
0.155	EI24
0.155	NUDT15
0.155	COPS2
0.155	FAH
0.155	MRPL46
0.155	CIAPIN1
0.155	PITPNA-AS1
0.155	POLR2A
0.155	DRG1
0.154	CIAO1
0.154	BTF3
0.154	SLC39A7
0.154	C7orf50
0.154	IDI1
0.154	UTP20
0.154	SUDS3
0.154	HNRNPC
0.154	TRIP11
0.154	EMC7
0.154	ALDOA
0.154	POLR2C
0.154	AMZ2
0.154	UHRF1
0.154	DCAF15
0.154	EIF3D
0.153	CHD5
0.153	INTS3
0.153	ADAM15
0.153	NDUFA2
0.153	TCOF1
0.153	RPP21
0.153	SRPK1
0.153	ARMCX6
0.153	SLC39A14
0.153	PPIF
0.153	TIMELESS
0.153	DDIT3
0.153	EFCAB11
0.153	VRK1
0.153	OAZ1
0.153	LMNB2
0.153	KXD1
0.153	EXOSC5
0.153	FAM207A
0.152	HSD17B7
0.152	DHX9
0.152	RTN4
0.152	AC092683.1
0.152	SRP72
0.152	UBE2D2
0.152	RPS10-NUDT3
0.152	CCNC
0.152	BCLAF1
0.152	RNASET2
0.152	ARFIP2
0.152	TMEM41B
0.152	COPB1
0.152	RBM14
0.152	APLP2
0.152	GDI2
0.152	PFKM
0.152	PFDN5
0.152	GTF2F2
0.152	APRT
0.152	MRM3
0.152	COPS3
0.152	SNF8
0.152	SRSF2
0.151	ATP6V0B
0.151	EXTL2
0.151	TMCO1
0.151	RPL31
0.151	CDC25A
0.151	YWHAG
0.151	TRIP6
0.151	SPCS2
0.151	RECQL
0.151	CDC16
0.151	RTCB
0.15	UGGT1
0.15	BRD8
0.15	LAS1L
0.15	CETN2
0.15	FABP5
0.15	LAPTM4B
0.15	CDCA5
0.15	CFAP20
0.15	MKKS
0.15	PIN1
0.15	COX6B1
0.15	HSPBP1
0.149	TRAPPC3
0.149	XPO1
0.149	USP39
0.149	GNB2
0.149	ERLIN2
0.149	EIF3E
0.149	FOXRED1
0.149	C12orf10
0.149	IQCK
0.149	LONP2
0.149	DUS1L
0.149	MTG2
0.149	XAB2
0.149	ATP5PO
0.148	SELENOF
0.148	GMPPA
0.148	YTHDC1
0.148	PPID
0.148	TCERG1
0.148	NOS3
0.148	WDR60
0.148	PSMD10
0.148	RFK
0.148	ATP5MG
0.148	TMEM25
0.148	ATP5MC2
0.148	VPS4A
0.148	PELP1
0.148	PSMD3
0.148	CBX1
0.148	TIMM21
0.148	EMC10
0.147	CAMTA1
0.147	TTC27
0.147	C1D
0.147	GOLGA4
0.147	CDKN2AIPNL
0.147	CHCHD3
0.147	AIFM1
0.147	WRN
0.147	YLPM1
0.147	RPUSD1
0.147	MTMR4
0.147	FOXRED2
0.146	PDCL3
0.146	TAMM41
0.146	DDX46
0.146	CDC5L
0.146	AIMP2
0.146	POM121
0.146	ARMC10
0.146	XRCC2
0.146	PTK2
0.146	CAPRIN1
0.146	C11orf49
0.146	RHOBTB1
0.146	MAGOHB
0.146	PUS1
0.146	NME3
0.146	UBL5
0.146	NEFH
0.145	METAP1D
0.145	SUMO1
0.145	NAA50
0.145	CENPU
0.145	PTPN11
0.145	MRPS31
0.145	FAM98B
0.145	FAM96A
0.145	AARSD1
0.145	NARS
0.145	ILVBL
0.144	SERBP1
0.144	NCKAP1
0.144	IK
0.144	PPIL1
0.144	RBM28
0.144	FANCB
0.144	DCTN6
0.144	IMMP1L
0.144	EIF3M
0.144	HERC2
0.144	VPS35
0.144	RPL26
0.144	EIF1
0.144	DYNLRB1
0.144	PET100
0.144	POLD1
0.143	CENPS-CORT
0.143	KDM1A
0.143	PPIE
0.143	SRP9
0.143	MZT2B
0.143	GORASP2
0.143	SCAP
0.143	TMEM128
0.143	DCTD
0.143	GEMIN5
0.143	NUDT3
0.143	BYSL
0.143	DLD
0.143	SORBS3
0.143	RABEPK
0.143	PDCD11
0.143	SFXN4
0.143	CEP290
0.143	C15orf61
0.143	TRAPPC5
0.143	PRPF31
0.142	PEX10
0.142	MUL1
0.142	HDGF
0.142	PTCD3
0.142	SNRNP200
0.142	NIF3L1
0.142	NOP58
0.142	KLHL18
0.142	TRMT10C
0.142	LRP11
0.142	PSPH
0.142	CLEC7A
0.142	POLE
0.142	GOLGA5
0.142	MESD
0.142	NDUFB10
0.142	ITGAE
0.142	PSMC3IP
0.141	SDF4
0.141	C1orf122
0.141	POMGNT1
0.141	NAXE
0.141	LYPLAL1
0.141	AUP1
0.141	LYAR
0.141	PPAT
0.141	RPL7L1
0.141	GINM1
0.141	SLC4A2
0.141	GINS4
0.141	TSTA3
0.141	FIBP
0.141	GLRX5
0.141	MRPL38
0.141	CSNK2A1
0.141	NDUFS7
0.141	NDUFA11
0.141	SNU13
0.14	CDK11B
0.14	RAD54L
0.14	BCAS2
0.14	KRTCAP2
0.14	ZGRF1
0.14	MTFR2
0.14	CDC26
0.14	MAPKAP1
0.14	MRPS16
0.14	TUBGCP2
0.14	YBX3
0.14	DNAJC15
0.14	NUTF2
0.14	KIAA0100
0.14	POLR2F
0.139	YRDC
0.139	SMYD5
0.139	QARS
0.139	HLTF
0.139	USO1
0.139	NUDT1
0.139	PUS7
0.139	FMC1
0.139	UBE3C
0.139	UQCRB
0.139	BAD
0.139	HIKESHI
0.139	RBM17
0.139	PCBD1
0.139	RPP30
0.139	SMNDC1
0.139	SUPT16H
0.139	MYBBP1A
0.139	KAT2A
0.139	GNA11
0.139	EVI5L
0.139	SNRPA
0.139	ADSL
0.138	ATAD3B
0.138	PSMB2
0.138	MTMR14
0.138	SEC24D
0.138	NUP155
0.138	ZNRD1
0.138	MPLKIP
0.138	SMS
0.138	SURF4
0.138	HRAS
0.138	SMARCD1
0.138	C12orf45
0.138	NOC4L
0.138	MTHFD1
0.138	KARS
0.138	MIEN1
0.138	VPS25
0.138	CHMP4B
0.138	SARS2
0.137	C1orf109
0.137	AMPD2
0.137	TPR
0.137	DTL
0.137	XDH
0.137	PRPF40A
0.137	UMPS
0.137	SLC25A4
0.137	PSMG4
0.137	ATAD2
0.137	NOL8
0.137	NOC3L
0.137	RHOT2
0.137	NMRAL1
0.137	USP7
0.137	RPAIN
0.137	RBL1
0.137	PHF5A
0.137	PCNT
0.136	AKR1A1
0.136	FXR1
0.136	LSG1
0.136	MGST2
0.136	NDUFAF4
0.136	ARPC1A
0.136	SMC1A
0.136	MAGED2
0.136	PTGES2
0.136	PSMD13
0.136	TTC17
0.136	AP002360.1
0.136	CLNS1A
0.136	UNG
0.136	ZC3H14
0.136	IFI27L2
0.136	PDF
0.136	SAP30BP
0.136	EIF6
0.136	TCF3
0.136	CLPP
0.135	RPS8
0.135	DOCK7
0.135	MRPL33
0.135	DBI
0.135	DNPEP
0.135	POC1A
0.135	PCCB
0.135	PPA2
0.135	NSUN2
0.135	ACOT13
0.135	CLIC5
0.135	RWDD1
0.135	BAZ1B
0.135	IMPAD1
0.135	SMC2
0.135	METTL1
0.135	GPHN
0.135	PSMC1
0.135	PDCD7
0.135	RPS15A
0.135	SIRPG
0.135	SRSF6
0.135	TECR
0.135	RABAC1
0.134	SASS6
0.134	PSMD4
0.134	TRAIP
0.134	NOP14
0.134	UGDH
0.134	HNRNPA2B1
0.134	RP9
0.134	PHF6
0.134	DNAJB5
0.134	MELK
0.134	OAZ2
0.134	C16orf91
0.134	PMM2
0.134	GSPT1
0.134	CFDP1
0.134	MPHOSPH6
0.134	TTC19
0.134	H3F3B
0.134	CHERP
0.134	CEP89
0.134	UBA2
0.134	U2AF1
0.133	TRAF3IP1
0.133	GMPS
0.133	VARS2
0.133	UFL1
0.133	HEBP2
0.133	TOMM7
0.133	RFC2
0.133	EMD
0.133	ENDOG
0.133	CCDC86
0.133	RASSF4
0.133	PSMA6
0.133	YY1
0.133	ATAD5
0.133	USP14
0.133	DNTTIP1
0.133	LKAAEAR1
0.133	PLEKHJ1
0.132	ENO1
0.132	TTC4
0.132	DPM3
0.132	CAD
0.132	CCDC138
0.132	RPL24
0.132	TMEM39A
0.132	RPF2
0.132	ECHDC1
0.132	PDCD2
0.132	TBRG4
0.132	KDM5C
0.132	SPTLC1
0.132	WDR5
0.132	MCMBP
0.132	FBXO21
0.132	PABPN1
0.132	PSMA4
0.132	ZNF771
0.132	ITFG1
0.132	G6PC3
0.132	PRDX2
0.132	DHX34
0.131	ZNHIT6
0.131	TFB2M
0.131	COX7A2L
0.131	ACYP2
0.131	SEC62
0.131	DNAJC19
0.131	CCNO
0.131	HIST1H4C
0.131	MPP6
0.131	BOP1
0.131	NUCB2
0.131	RPS25
0.131	DYRK4
0.131	SCFD1
0.131	KTN1
0.131	SUPT6H
